,REARING_NUMBER,YEAR_OF_COLL,LEG,COUNTRY,REGION,SITE,NDECDEG,EDECDEG,ELEVATION,RSAL,RGALLER,RPAR,N_GALLS,NB_GALLS_PAR,site_time,site_ID
3298,199923A1-F1Okriec,1999,1999-07-21,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Svesic,30,4,Zillis1999,639
3299,199923A1-F1Okriec,1999,1999-07-21,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Ccruxx,30,6,Zillis1999,639
3300,199923G1-S1Ovimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Eacicu,55,2,Zillis1999,639
3301,199923G1-S1Ovimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Etorym,55,2,Zillis1999,639
3302,199923G1-S1Ovimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Pdolic,55,1,Zillis1999,639
3303,199923G1-S1Ovimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Chalci,55,8,Zillis1999,639
3304,199923G1-S1Ovimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Broman,55,2,Zillis1999,639
3305,199923G1-S1Ovimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Ccruxx,55,25,Zillis1999,639
3306,199923G1-S1Ovimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Hruber,55,2,Zillis1999,639
3307,199923H-POkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Pdolic,44,2,Zillis1999,639
3308,199923H-POkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Chalci,44,9,Zillis1999,639
3309,199923H-POkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Bbrevi,44,1,Zillis1999,639
3310,199923H-POkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Broman,44,1,Zillis1999,639
3311,199923H-POkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Svesic,44,3,Zillis1999,639
3312,199923H-POkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Ccruxx,44,5,Zillis1999,639
3313,199923Q-ZOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Eacicu,55,13,Zillis1999,639
3314,199923Q-ZOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Etorym,55,7,Zillis1999,639
3315,199923Q-ZOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Pdolic,55,1,Zillis1999,639
3316,199923Q-ZOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Chalci,55,21,Zillis1999,639
3317,199923Q-ZOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Ibrevi,55,1,Zillis1999,639
3318,199923Q-ZOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Ccruxx,55,5,Zillis1999,639
3319,199924A-25SOkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Eacicu,379,20,Zillis1999,639
3320,199924A-25SOkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Etorym,379,2,Zillis1999,639
3321,199924A-25SOkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Pdolic,379,1,Zillis1999,639
3322,199924A-25SOkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Chalci,379,147,Zillis1999,639
3323,199924A-25SOkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Svesic,379,8,Zillis1999,639
3324,199924A-25SOkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Ccruxx,379,64,Zillis1999,639
3325,199924A-25SOkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Csalic,379,6,Zillis1999,639
