REARING_NUMBER,YEAR_OF_COLL,LEG,COUNTRY,REGION,SITE,NDECDEG,EDECDEG,ELEVATION,RSAL,RGALLER,RPAR,N_GALLS,NB_GALLS_PAR,Salix_spp,site_time,site_ID
198353A-V1Ofoeti,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal4,Ofoeti,Chalci,96,22,foetida,Zillertal, Hintertux/ Weitental1983,629
198353A-V1Ofoeti,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal4,Ofoeti,Bracin,96,2,foetida,Zillertal, Hintertux/ Weitental1983,629
198353A-V1Ofoeti,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal4,Ofoeti,Svesic,96,1,foetida,Zillertal, Hintertux/ Weitental1983,629
198353A-V1Ofoeti,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal4,Ofoeti,Hruber,96,1,foetida,Zillertal, Hintertux/ Weitental1983,629
198354A-V1Ovaria,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal3,Ovaria,Eacicu,96,6,myrsinifolia,Zillertal, Hintertux/ Weitental1983,629
198354A-V1Ovaria,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal3,Ovaria,Etorym,96,8,myrsinifolia,Zillertal, Hintertux/ Weitental1983,629
198354A-V1Ovaria,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal3,Ovaria,Pcynip,96,14,myrsinifolia,Zillertal, Hintertux/ Weitental1983,629
198354A-V1Ovaria,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal3,Ovaria,Pdolic,96,4,myrsinifolia,Zillertal, Hintertux/ Weitental1983,629
198354A-V1Ovaria,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal3,Ovaria,Chalci,96,40,myrsinifolia,Zillertal, Hintertux/ Weitental1983,629
198355A-57V1Oretus,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal24,Oretus,Pdolic,278,1,retusa,Zillertal, Hintertux/ Weitental1983,629
198355A-57V1Oretus,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal24,Oretus,Pponta,278,3,retusa,Zillertal, Hintertux/ Weitental1983,629
198355A-57V1Oretus,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal24,Oretus,Chalci,278,42,retusa,Zillertal, Hintertux/ Weitental1983,629
198355A-57V1Oretus,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal24,Oretus,Broman,278,2,retusa,Zillertal, Hintertux/ Weitental1983,629
198355A-57V1Oretus,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal24,Oretus,Bracin,278,4,retusa,Zillertal, Hintertux/ Weitental1983,629
198358A-V1Omonti,1983,1983-08-23,Austria,Tirol,Zillertal, Hintertux/ Weitental,47.1,11.65,1769,Sal4,Omonti,none,24,0,foetida,Zillertal, Hintertux/ Weitental1983,629
