"Salix"	"Rgaller"	"cooccur"	"interact"	"salix_ID"	"galler_ID"	"post_mean"	"post_SD"
"72"	"waldsteiniana"	"Obridg"	2	0	52	60	0.392670223765779	0.0333507633690987
"73"	"pentandra"	"Obridg"	2	0	37	60	0.392670223765779	0.0333507633690987
"74"	"breviserrata"	"Obridg"	0	0	10	60	0.545143663965149	0.048141703207588
"75"	"reticulata"	"Obridg"	1	0	43	60	0.456512080518707	0.0403384966949806
"76"	"retusa"	"Obridg"	1	0	44	60	0.456512080518707	0.0403384966949806
"77"	"aurita"	"Obridg"	4	1	6	60	0.41612856519773	0.0265516699498284
"78"	"triandra"	"Obridg"	0	0	48	60	0.545143663965149	0.048141703207588
"79"	"lanata"	"Obridg"	0	0	28	60	0.545143663965149	0.048141703207588
"80"	"herbacea"	"Obridg"	0	0	27	60	0.545143663965149	0.048141703207588
"81"	"borealis"	"Obridg"	0	0	9	60	0.545143663965149	0.048141703207588
"82"	"myrtilloides"	"Obridg"	0	0	36	60	0.545143663965149	0.048141703207588
"83"	"viminalis"	"Obridg"	0	0	49	60	0.545143663965149	0.048141703207588
"84"	"glabra"	"Obridg"	1	0	21	60	0.456512080518707	0.0403384966949806
"85"	"apennina"	"Obridg"	0	0	4	60	0.545143663965149	0.048141703207588
"86"	"rubens"	"Obridg"	0	0	46	60	0.545143663965149	0.048141703207588
"87"	"rosmarinifolia"	"Obridg"	0	0	45	60	0.545143663965149	0.048141703207588
"88"	"caprea x appendiculata"	"Obridg"	1	1	12	60	0.619095981433509	0.0383399091115139
"89"	"cinerea oleifolia"	"Obridg"	0	0	14	60	0.545143663965149	0.048141703207588
"90"	"viminalis x caprea"	"Obridg"	0	0	51	60	0.545143663965149	0.048141703207588
"91"	"viminalis x ?"	"Obridg"	0	0	50	60	0.545143663965149	0.048141703207588
"92"	"alpina?"	"Obridg"	0	0	3	60	0.545143663965149	0.048141703207588
"93"	"phylicifolia x caprea ?"	"Obridg"	0	0	39	60	0.545143663965149	0.048141703207588
"94"	"lapponum x glauca?"	"Obridg"	0	0	31	60	0.545143663965149	0.048141703207588
"95"	"lapponum x glauca"	"Obridg"	0	0	30	60	0.545143663965149	0.048141703207588
"96"	"aurita x caprea"	"Obridg"	0	0	7	60	0.545143663965149	0.048141703207588
"97"	"starkeana"	"Obridg"	0	0	47	60	0.545143663965149	0.048141703207588
"98"	"hastata x phylicifolia"	"Obridg"	0	0	25	60	0.545143663965149	0.048141703207588
"99"	"lapponum x phylicifolia"	"Obridg"	0	0	32	60	0.545143663965149	0.048141703207588
"100"	"acutifolia"	"Obridg"	0	0	1	60	0.545143663965149	0.048141703207588
"101"	"bicolor"	"Obridg"	0	0	8	60	0.545143663965149	0.048141703207588
"102"	"polaris"	"Obridg"	0	0	40	60	0.545143663965149	0.048141703207588
"103"	"cinerea x myrsinifolia"	"Obridg"	0	0	15	60	0.545143663965149	0.048141703207588
"104"	"fragilis x pentandra"	"Obridg"	0	0	20	60	0.545143663965149	0.048141703207588
"105"	"elaeagnos"	"Ovaria"	5	0	17	93	0.276617725210864	0.0197130189271469
"106"	"appendiculata"	"Ovaria"	6	0	5	93	0.25181045234878	0.0168960197292283
"107"	"myrsinifolia"	"Ovaria"	50	50	34	93	0.957519734890443	0.000737537582611715
"108"	"foetida"	"Ovaria"	10	0	18	93	0.185328786690772	0.00996536936807154
"109"	"hastata"	"Ovaria"	14	0	24	93	0.146619168272519	0.00653355650881462
"110"	"daphnoides"	"Ovaria"	7	0	16	93	0.231086455862499	0.0146235144851536
"111"	"helvetica"	"Ovaria"	7	0	26	93	0.231086455862499	0.0146235144851536
"112"	"glaucosericea"	"Ovaria"	3	0	23	93	0.344493791569958	0.0277054286114692
"113"	"cinerea"	"Ovaria"	1	0	13	93	0.456512080518707	0.0403384966949806
"114"	"purpurea"	"Ovaria"	9	0	41	93	0.198425606869224	0.0112399540095504
"115"	"alba"	"Ovaria"	2	0	2	93	0.392670223765779	0.0333507633690987
"116"	"fragilis"	"Ovaria"	0	0	19	93	0.545143663965149	0.048141703207588
"117"	"repens"	"Ovaria"	0	0	42	93	0.545143663965149	0.048141703207588
"118"	"lapponum"	"Ovaria"	3	0	29	93	0.344493791569958	0.0277054286114692
"119"	"myrsinites"	"Ovaria"	1	0	35	93	0.456512080518707	0.0403384966949806
"120"	"phylicifolia"	"Ovaria"	6	0	38	93	0.25181045234878	0.0168960197292283
"121"	"glauca"	"Ovaria"	6	0	22	93	0.25181045234878	0.0168960197292283
"122"	"caprea"	"Ovaria"	4	0	11	93	0.306846955494385	0.0232433133556618
"123"	"mielichhoferi"	"Ovaria"	6	6	33	93	0.789894687764422	0.0148835059104872
"124"	"waldsteiniana"	"Ovaria"	5	0	52	93	0.276617725210864	0.0197130189271469
"125"	"pentandra"	"Ovaria"	1	0	37	93	0.456512080518707	0.0403384966949806
"126"	"breviserrata"	"Ovaria"	5	0	10	93	0.276617725210864	0.0197130189271469
"127"	"reticulata"	"Ovaria"	2	0	43	93	0.392670223765779	0.0333507633690987
"128"	"retusa"	"Ovaria"	2	0	44	93	0.392670223765779	0.0333507633690987
"129"	"aurita"	"Ovaria"	0	0	6	93	0.545143663965149	0.048141703207588
"130"	"triandra"	"Ovaria"	0	0	48	93	0.545143663965149	0.048141703207588
"131"	"lanata"	"Ovaria"	5	0	28	93	0.276617725210864	0.0197130189271469
"132"	"herbacea"	"Ovaria"	0	0	27	93	0.545143663965149	0.048141703207588
"133"	"borealis"	"Ovaria"	1	0	9	93	0.456512080518707	0.0403384966949806
"134"	"myrtilloides"	"Ovaria"	1	0	36	93	0.456512080518707	0.0403384966949806
"135"	"viminalis"	"Ovaria"	1	0	49	93	0.456512080518707	0.0403384966949806
"136"	"glabra"	"Ovaria"	0	0	21	93	0.545143663965149	0.048141703207588
"137"	"apennina"	"Ovaria"	1	1	4	93	0.619095981433509	0.0383399091115139
"138"	"rubens"	"Ovaria"	0	0	46	93	0.545143663965149	0.048141703207588
"139"	"rosmarinifolia"	"Ovaria"	0	0	45	93	0.545143663965149	0.048141703207588
"140"	"caprea x appendiculata"	"Ovaria"	0	0	12	93	0.545143663965149	0.048141703207588
"141"	"cinerea oleifolia"	"Ovaria"	0	0	14	93	0.545143663965149	0.048141703207588
"142"	"viminalis x caprea"	"Ovaria"	0	0	51	93	0.545143663965149	0.048141703207588
"143"	"viminalis x ?"	"Ovaria"	0	0	50	93	0.545143663965149	0.048141703207588
"144"	"alpina?"	"Ovaria"	0	0	3	93	0.545143663965149	0.048141703207588
"145"	"phylicifolia x caprea ?"	"Ovaria"	0	0	39	93	0.545143663965149	0.048141703207588
"146"	"lapponum x glauca?"	"Ovaria"	0	0	31	93	0.545143663965149	0.048141703207588
"147"	"lapponum x glauca"	"Ovaria"	0	0	30	93	0.545143663965149	0.048141703207588
"148"	"aurita x caprea"	"Ovaria"	0	0	7	93	0.545143663965149	0.048141703207588
"149"	"starkeana"	"Ovaria"	1	0	47	93	0.456512080518707	0.0403384966949806
"150"	"hastata x phylicifolia"	"Ovaria"	1	0	25	93	0.456512080518707	0.0403384966949806
"151"	"lapponum x phylicifolia"	"Ovaria"	1	0	32	93	0.456512080518707	0.0403384966949806
"152"	"acutifolia"	"Ovaria"	0	0	1	93	0.545143663965149	0.048141703207588
"153"	"bicolor"	"Ovaria"	0	0	8	93	0.545143663965149	0.048141703207588
"154"	"polaris"	"Ovaria"	0	0	40	93	0.545143663965149	0.048141703207588
"155"	"cinerea x myrsinifolia"	"Ovaria"	0	0	15	93	0.545143663965149	0.048141703207588
"156"	"fragilis x pentandra"	"Ovaria"	0	0	20	93	0.545143663965149	0.048141703207588
"157"	"elaeagnos"	"Oobscu"	2	0	17	81	0.392670223765779	0.0333507633690987
"158"	"appendiculata"	"Oobscu"	7	0	5	81	0.231086455862499	0.0146235144851536
"159"	"myrsinifolia"	"Oobscu"	8	0	34	81	0.213514237305205	0.0127693799353529
"160"	"foetida"	"Oobscu"	18	18	18	81	0.898801414631129	0.00392893293366544
"161"	"hastata"	"Oobscu"	7	0	24	81	0.231086455862499	0.0146235144851536
"162"	"daphnoides"	"Oobscu"	1	0	16	81	0.456512080518707	0.0403384966949806
"163"	"helvetica"	"Oobscu"	3	0	26	81	0.344493791569958	0.0277054286114692
"164"	"glaucosericea"	"Oobscu"	0	0	23	81	0.545143663965149	0.048141703207588
"165"	"cinerea"	"Oobscu"	0	0	13	81	0.545143663965149	0.048141703207588
"166"	"purpurea"	"Oobscu"	3	0	41	81	0.344493791569958	0.0277054286114692
"167"	"alba"	"Oobscu"	0	0	2	81	0.545143663965149	0.048141703207588
"168"	"fragilis"	"Oobscu"	0	0	19	81	0.545143663965149	0.048141703207588
"169"	"repens"	"Oobscu"	0	0	42	81	0.545143663965149	0.048141703207588
"170"	"lapponum"	"Oobscu"	0	0	29	81	0.545143663965149	0.048141703207588
"171"	"myrsinites"	"Oobscu"	0	0	35	81	0.545143663965149	0.048141703207588
"172"	"phylicifolia"	"Oobscu"	0	0	38	81	0.545143663965149	0.048141703207588
"173"	"glauca"	"Oobscu"	0	0	22	81	0.545143663965149	0.048141703207588
"174"	"caprea"	"Oobscu"	0	0	11	81	0.545143663965149	0.048141703207588
"175"	"mielichhoferi"	"Oobscu"	5	0	33	81	0.276617725210864	0.0197130189271469
"176"	"waldsteiniana"	"Oobscu"	7	7	52	81	0.807186351839145	0.0128088853607276
"177"	"pentandra"	"Oobscu"	1	0	37	81	0.456512080518707	0.0403384966949806
"178"	"breviserrata"	"Oobscu"	4	0	10	81	0.306846955494385	0.0232433133556618
"179"	"reticulata"	"Oobscu"	4	0	43	81	0.306846955494385	0.0232433133556618
"180"	"retusa"	"Oobscu"	5	0	44	81	0.276617725210864	0.0197130189271469
"181"	"aurita"	"Oobscu"	0	0	6	81	0.545143663965149	0.048141703207588
"182"	"triandra"	"Oobscu"	0	0	48	81	0.545143663965149	0.048141703207588
"183"	"lanata"	"Oobscu"	0	0	28	81	0.545143663965149	0.048141703207588
"184"	"herbacea"	"Oobscu"	0	0	27	81	0.545143663965149	0.048141703207588
"185"	"borealis"	"Oobscu"	0	0	9	81	0.545143663965149	0.048141703207588
"186"	"myrtilloides"	"Oobscu"	0	0	36	81	0.545143663965149	0.048141703207588
"187"	"viminalis"	"Oobscu"	0	0	49	81	0.545143663965149	0.048141703207588
"188"	"glabra"	"Oobscu"	0	0	21	81	0.545143663965149	0.048141703207588
"189"	"apennina"	"Oobscu"	0	0	4	81	0.545143663965149	0.048141703207588
"190"	"rubens"	"Oobscu"	0	0	46	81	0.545143663965149	0.048141703207588
"191"	"rosmarinifolia"	"Oobscu"	0	0	45	81	0.545143663965149	0.048141703207588
"192"	"caprea x appendiculata"	"Oobscu"	0	0	12	81	0.545143663965149	0.048141703207588
"193"	"cinerea oleifolia"	"Oobscu"	0	0	14	81	0.545143663965149	0.048141703207588
"194"	"viminalis x caprea"	"Oobscu"	0	0	51	81	0.545143663965149	0.048141703207588
"195"	"viminalis x ?"	"Oobscu"	0	0	50	81	0.545143663965149	0.048141703207588
"196"	"alpina?"	"Oobscu"	1	1	3	81	0.619095981433509	0.0383399091115139
"197"	"phylicifolia x caprea ?"	"Oobscu"	0	0	39	81	0.545143663965149	0.048141703207588
"198"	"lapponum x glauca?"	"Oobscu"	0	0	31	81	0.545143663965149	0.048141703207588
"199"	"lapponum x glauca"	"Oobscu"	0	0	30	81	0.545143663965149	0.048141703207588
"200"	"aurita x caprea"	"Oobscu"	0	0	7	81	0.545143663965149	0.048141703207588
"201"	"starkeana"	"Oobscu"	0	0	47	81	0.545143663965149	0.048141703207588
"202"	"hastata x phylicifolia"	"Oobscu"	0	0	25	81	0.545143663965149	0.048141703207588
"203"	"lapponum x phylicifolia"	"Oobscu"	0	0	32	81	0.545143663965149	0.048141703207588
"204"	"acutifolia"	"Oobscu"	0	0	1	81	0.545143663965149	0.048141703207588
"205"	"bicolor"	"Oobscu"	0	0	8	81	0.545143663965149	0.048141703207588
"206"	"polaris"	"Oobscu"	0	0	40	81	0.545143663965149	0.048141703207588
"207"	"cinerea x myrsinifolia"	"Oobscu"	0	0	15	81	0.545143663965149	0.048141703207588
"208"	"fragilis x pentandra"	"Oobscu"	0	0	20	81	0.545143663965149	0.048141703207588
"209"	"elaeagnos"	"Okriec"	17	17	17	71	0.894232768031611	0.00426987186199973
"210"	"appendiculata"	"Okriec"	2	0	5	71	0.392670223765779	0.0333507633690987
"211"	"myrsinifolia"	"Okriec"	5	0	34	71	0.276617725210864	0.0197130189271469
"212"	"foetida"	"Okriec"	1	0	18	71	0.456512080518707	0.0403384966949806
"213"	"hastata"	"Okriec"	0	0	24	71	0.545143663965149	0.048141703207588
"214"	"daphnoides"	"Okriec"	5	0	16	71	0.276617725210864	0.0197130189271469
"215"	"helvetica"	"Okriec"	0	0	26	71	0.545143663965149	0.048141703207588
"216"	"glaucosericea"	"Okriec"	0	0	23	71	0.545143663965149	0.048141703207588
"217"	"cinerea"	"Okriec"	0	0	13	71	0.545143663965149	0.048141703207588
"218"	"purpurea"	"Okriec"	8	0	41	71	0.213514237305205	0.0127693799353529
"219"	"alba"	"Okriec"	0	0	2	71	0.545143663965149	0.048141703207588
