"Threshold"	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"80"	"81"	"82"	"83"	"84"	"85"	"86"	"87"	"88"	"89"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"97"	"98"	"99"	"100"	"101"	"102"	"103"	"104"	"105"	"106"	"107"	"108"	"109"	"110"	"111"	"112"	"113"	"114"	"115"	"116"	"117"	"118"	"119"	"120"	"121"	"122"	"123"	"124"	"125"	"126"	"127"	"128"	"129"	"130"	"131"	"132"	"133"	"134"	"135"	"136"	"137"	"138"	"139"	"140"	"141"	"142"	"143"	"144"	"145"	"146"	"147"	"148"	"149"	"150"	"151"	"152"	"153"	"154"	"155"	"156"	"157"	"158"	"159"	"160"	"161"	"162"	"163"	"164"	"165"	"166"	"167"	"168"	"169"	"170"	"171"	"172"	"173"	"174"	"175"	"176"	"177"	"178"	"179"	"180"	"181"	"182"	"183"	"184"	"185"	"186"	"187"	"188"	"189"	"190"	"191"	"192"	"193"	"194"	"195"	"196"	"197"	"198"	"199"	"200"	"201"	"202"	"203"	"204"	"205"	"206"	"207"	"208"	"209"	"210"	"211"	"212"	"213"	"214"	"215"	"216"	"217"	"218"	"219"	"220"	"221"	"222"	"223"	"224"	"225"	"226"	"227"	"228"	"229"	"230"	"231"	"232"	"233"	"234"	"235"	"236"	"237"	"238"	"239"	"240"	"241"	"242"	"243"	"244"	"245"	"246"	"247"	"248"	"249"	"250"	"251"	"252"	"253"	"254"	"255"	"256"	"257"	"258"	"259"	"260"	"261"	"262"	"263"	"264"	"265"	"266"	"267"	"268"	"269"	"270"	"271"	"272"	"273"	"274"	"275"	"276"	"277"	"278"	"279"	"280"	"281"	"282"	"283"	"284"	"285"	"286"	"287"	"288"	"289"	"290"	"291"	"292"	"293"	"294"	"295"	"296"	"297"	"298"	"299"	"300"	"301"	"302"	"303"	"304"	"305"	"306"	"307"	"308"	"309"	"310"	"311"	"312"	"313"	"314"	"315"	"316"	"317"	"318"	"319"	"320"	"321"	"322"	"323"	"324"	"325"	"326"	"327"	"328"	"329"	"330"	"331"	"332"	"333"	"334"	"335"	"336"	"337"	"338"	"339"	"340"	"341"	"342"	"343"	"344"	"345"	"346"	"347"	"348"	"349"	"350"	"351"	"352"	"353"	"354"	"355"	"356"	"357"	"358"	"359"	"360"	"361"	"362"	"363"	"364"	"365"	"366"	"367"	"368"	"369"	"370"	"371"	"372"	"373"	"374"	"375"	"376"	"377"	"378"	"379"	"380"	"381"	"382"	"383"	"384"	"385"	"386"	"387"	"388"	"389"	"390"	"391"	"392"	"393"	"394"	"395"	"396"	"397"	"398"	"399"	"400"	"401"	"402"	"403"	"404"	"405"	"406"	"407"	"408"	"409"	"410"	"411"	"412"	"413"	"414"	"415"	"416"	"417"	"418"	"419"	"420"	"421"	"422"	"423"	"424"	"425"	"426"	"427"	"428"	"429"	"430"	"431"	"432"	"433"	"434"	"435"	"436"	"437"	"438"	"439"	"440"	"441"	"442"	"443"	"444"	"445"	"446"	"447"	"448"	"449"	"450"	"451"	"452"	"453"	"454"	"455"	"456"	"457"	"458"	"459"	"460"	"461"	"462"	"463"	"464"	"465"	"466"	"467"	"468"	"469"	"470"	"471"	"472"	"473"	"474"	"475"	"476"	"477"	"478"	"479"	"480"	"481"	"482"	"483"	"484"	"485"	"486"	"487"	"488"	"489"	"490"	"491"	"492"	"493"	"494"	"495"	"496"	"497"	"498"	"499"	"500"
"1"	0.5	0.411939060396705	0.59140812891005	0.729672735972965	0.827583885426204	0.893104622400525	0.93520248652409	0.961433821314271	0.977391602497134	0.986914426057935	0.992508100989826	0.995750707659237	0.997609483720234	0.998664797137241	0.999258962896529	0.999591051274056	0.999775463404799	0.999877281244854	0.999933207713405	0.999963784501251	0.999980431566775	0.999989460149147	0.999994339711476	0.99999696844892	0.99999838043119	0.999999136784918	0.999999540915313	0.999999756340681	0.999999870923852	0.999999931745259	0.999999963967863	0.999999981008465	0.999999990005023	0.9999999947472	0.999999997243106	0.999999998554894	0.999999999243415	0.999999999604342	0.999999999793314	0.999999999892142	0.999999999943771	0.999999999970714	0.99999999998476	0.999999999992077	0.999999999995884	0.999999999997863	0.999999999998892	0.999999999999426	0.999999999999702	0.999999999999846	0.99999999999992	0.999999999999959	0.999999999999979	0.999999999999989	0.999999999999994	0.999999999999997	0.999999999999998	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"2"	0.25	0.0825856909181749	0.148851602663938	0.225429396751996	0.306771469763603	0.388420892743028	0.46711200199526	0.540661083692633	0.607776243556697	0.667852812314902	0.720785977753369	0.766813349036216	0.806390108390773	0.840094452360636	0.868558935238554	0.892422790875556	0.912300561810567	0.928762968813446	0.942326666791605	0.953450227590883	0.962534306979229	0.969924470631225	0.975915571338615	0.980756896143819	0.984657550889444	0.987791734815753	0.990303692400505	0.992312225013339	0.993914710636398	0.99519062353242	0.996204573332635	0.997008899194889	0.997645862939237	0.998149487991964	0.998547090444013	0.998860545900986	0.999107332008821	0.999301382220899	0.999453781948871	0.999573333974521	0.99966701604701	0.999740350027107	0.999797698795412	0.999842504410843	0.999877478665216	0.999904755195239	0.999926010645615	0.999942560986492	0.999955437936613	0.999965449494998	0.999973227806778	0.999979266954887	0.999983952754437	0.999987586209848	0.999990401958679	0.99999258275577	0.999994270834536	0.999995576808842	0.999996586640514	0.999997367087361	0.999997969958987	0.999998435438286	0.999998794671452	0.999999071785931	0.999999285461404	0.999999450151867	0.9999995770356	0.999999674753099	0.999999749979895	0.999999807870936	0.999999852405095	0.999999886652098	0.999999912979229	0.999999933211287	0.999999948754331	0.999999960691331	0.999999969856088	0.999999976890323	0.999999982287742	0.999999986428043	0.999999989603142	0.999999992037391	0.999999993903161	0.999999995332843	0.999999996428088	0.999999997266922	0.999999997909221	0.999999998400915	0.999999998777233	0.999999999065182	0.999999999285466	0.999999999453949	0.999999999582784	0.999999999681283	0.999999999756572	0.99999999981411	0.999999999858073	0.999999999891658	0.999999999917309	0.999999999936898	0.999999999951854	0.999999999963271	0.999999999971986	0.999999999978636	0.99999999998371	0.99999999998758	0.999999999990533	0.999999999992784	0.999999999994501	0.99999999999581	0.999999999996808	0.999999999997569	0.999999999998148	0.99999999999859	0.999999999998926	0.999999999999182	0.999999999999378	0.999999999999526	0.999999999999639	0.999999999999726	0.999999999999791	0.999999999999841	0.999999999999879	0.999999999999908	0.99999999999993	0.999999999999947	0.99999999999996	0.999999999999969	0.999999999999977	0.999999999999982	0.999999999999986	0.99999999999999	0.999999999999992	0.999999999999994	0.999999999999996	0.999999999999997	0.999999999999997	0.999999999999998	0.999999999999998	0.999999999999999	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"3"	0.1	0.00747102116338759	0.0152234752618162	0.0259740856674364	0.0396774357878809	0.0561835894492414	0.0752733146725667	0.0966840957385247	0.120129467904593	0.145313361067021	0.171940644429692	0.199724749478432	0.228393034685643	0.25769040298183	0.287381570588492	0.317252300669836	0.347109849554661	0.376782821848627	0.40612059007943	0.434992402102015	0.463286273523	0.490907741527941	0.517778539680106	0.543835239705709	0.569027895360861	0.59331871469184	0.616680779953971	0.639096828823732	0.660558106062668	0.681063291257668	0.700617505495934	0.719231397692067	0.736920309651556	0.753703517733337	0.769603548084352	0.784645561795902	0.798856805921183	0.812266126051503	0.824903536038991	0.836799840446479	0.847986305376224	0.858494373458739	0.868355418955	0.877600539126946	0.886260378252122	0.894364980890313	0.901943671246682	0.909024955712214	0.915636445894349	0.921804799675714	0.927555678054731	0.932913715727116	0.937902503561032	0.942544581300196	0.946861438998596	0.950873525847394	0.95460026519956	0.958060074730928	0.961270390798333	0.964247696166684	0.967007550377957	0.96956462212663	0.971932723088808	0.974124842726702	0.976153183656917	0.978029197230735	0.979763619027872	0.981366504012506	0.98284726114236	0.984214687258629	0.985477000117156	0.986641870449817	0.987716452970006	0.988707416257809	0.989620971479185	0.990462899909636	0.991238579246623	0.991953008706774	0.992610832913758	0.993216364591042	0.993773606080528	0.994286269713704	0.99475779706637	0.995191377131574	0.995589963448035	0.995956290223335	0.996292887492456	0.996602095353114	0.99688607731963	0.997146832837131	0.997386208997456	0.997605911497599	0.997807514880652	0.997992472098223	0.998162123432183	0.9983177048123	0.99846035556504	0.998591125627396	0.998710982258193	0.998820816277882	0.998921447866374	0.999013631947037	0.999098063183554	0.999175380614944	0.999246171952674	0.999310977562484	0.999370294152238	0.999424578185896	0.999474249042503	0.999519691937942	0.999561260626113	0.999599279895159	0.999634047873369	0.999665838158431	0.999694901782843	0.999721469027409	0.999745751093989	0.99976794164788	0.999788218239522	0.999806743614537	0.999823666920507	0.999839124818261	0.99985324250496	0.999866134655662	0.999877906289659	0.999888653567345	0.999898464523006	0.999907419738506	0.999915592962466	0.99992305167922	0.999929857631487	0.999936067300408	0.999941732346324	0.999946900013423	0.999951613501121	0.999955912304851	0.999959832528702	0.99996340717219	0.999966666393228	0.999969637749239	0.999972346418179	0.999974815401107	0.999977065707803	0.999979116526834	0.999980985381329	0.999982688271647	0.999984239806022	0.999985653320166	0.999986940986755	0.99998811391564	0.999989182245539	0.999990155227945	0.999991041303873	0.999991848174066	0.999992582863202	0.999993251778602	0.999993860763908	0.999994415148154	0.999994919790614	0.999995379121796	0.999995797180898	0.999996177650028	0.999996523885471	0.999996838946247	0.999997125620192	0.999997386447782	0.999997623743879	0.999997839617589	0.999998035990395	0.999998214612698	0.999998377078924	0.999998524841306	0.999998659222458	0.999998781426853	0.999998892551293	0.999998993594452	0.999999085465595	0.999999168992516	0.999999244928783	0.999999313960347	0.999999376711564	0.999999433750685	0.999999485594862	0.999999532714711	0.999999575538469	0.99999961445579	0.999999649821188	0.999999681957194	0.999999711157219	0.999999737688165	0.999999761792805	0.999999783691953	0.999999803586436	0.999999821658892	0.999999838075408	0.99999985298701	0.999999866531023	0.999999878832304	0.999999890004368	0.999999900150413	0.999999909364255	0.99999991773117	0.999999925328674	0.999999932227219	0.999999938490839	0.999999944177728	0.999999949340771	0.999999954028025	0.99999995828316	0.999999962145853	0.999999965652155	0.999999968834822	0.999999971723609	0.999999974345549	0.999999976725198	0.999999978884861	0.999999980844801	0.99999998262342	0.999999984237431	0.999999985702013	0.999999987030952	0.999999988236766	0.999999989330822	0.999999990323443	0.999999991224001	0.999999992041006	0.999999992782183	0.999999993454547	0.999999994064466	0.99999999461772	0.999999995119556	0.999999995574738	0.99999999598759	0.999999996362035	0.999999996701636	0.999999997009624	0.999999997288934	0.999999997542228	0.999999997771921	0.999999997980207	0.999999998169074	0.999999998340327	0.999999998495605	0.999999998636394	0.999999998764041	0.99999999887977	0.99999999898469	0.999999999079809	0.999999999166039	0.999999999244208	0.999999999315069	0.999999999379302	0.999999999437526	0.999999999490302	0.999999999538138	0.999999999581495	0.999999999620791	0.999999999656407	0.999999999688685	0.999999999717938	0.999999999744448	0.999999999768472	0.999999999790243	0.999999999809971	0.999999999827848	0.999999999844047	0.999999999858725	0.999999999872025	0.999999999884075	0.999999999894993	0.999999999904885	0.999999999913846	0.999999999921966	0.999999999929321	0.999999999935985	0.999999999942022	0.999999999947491	0.999999999952444	0.999999999956932	0.999999999960997	0.999999999964679	0.999999999968014	0.999999999971035	0.999999999973771	0.999999999976249	0.999999999978493	0.999999999980526	0.999999999982367	0.999999999984034	0.999999999985544	0.999999999986911	0.999999999988149	0.999999999989271	0.999999999990286	0.999999999991206	0.999999999992038	0.999999999992792	0.999999999993475	0.999999999994093	0.999999999994653	0.999999999995159	0.999999999995618	0.999999999996034	0.99999999999641	0.99999999999675	0.999999999997058	0.999999999997337	0.99999999999759	0.999999999997819	0.999999999998026	0.999999999998213	0.999999999998383	0.999999999998536	0.999999999998675	0.999999999998801	0.999999999998915	0.999999999999018	0.999999999999111	0.999999999999196	0.999999999999272	0.999999999999342	0.999999999999404	0.999999999999461	0.999999999999512	0.999999999999559	0.999999999999601	0.999999999999639	0.999999999999673	0.999999999999704	0.999999999999732	0.999999999999758	0.999999999999781	0.999999999999802	0.999999999999821	0.999999999999838	0.999999999999853	0.999999999999867	0.99999999999988	0.999999999999891	0.999999999999902	0.999999999999911	0.99999999999992	0.999999999999927	0.999999999999934	0.99999999999994	0.999999999999946	0.999999999999951	0.999999999999956	0.99999999999996	0.999999999999964	0.999999999999967	0.99999999999997	0.999999999999973	0.999999999999976	0.999999999999978	0.99999999999998	0.999999999999982	0.999999999999984	0.999999999999985	0.999999999999987	0.999999999999988	0.999999999999989	0.99999999999999	0.999999999999991	0.999999999999992	0.999999999999993	0.999999999999993	0.999999999999994	0.999999999999995	0.999999999999995	0.999999999999996	0.999999999999996	0.999999999999996	0.999999999999997	0.999999999999997	0.999999999999997	0.999999999999998	0.999999999999998	0.999999999999998	0.999999999999998	0.999999999999998	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"4"	0.05	0.00112423801967726	0.00238085341836484	0.00422025854794608	0.00669512699988847	0.00984180529958596	0.0136831849768474	0.018230982949255	0.0234876065418889	0.0294477088272061	0.0360995029732224	0.0434258831107334	0.0514053862276196	0.0600130211473359	0.0692209848907304	0.0789992826383379	0.0893162645170971	0.100139090176339	0.111434130370016	0.123167313380588	0.135304423007727	0.147811353935074	0.160654329533785	0.173800086528293	0.187216030412863	0.20087036504822	0.214732199471704	0.228771634610873	0.242959832290772	0.257269068662142	0.27167277394635	0.286145560188078	0.300663238525304	0.315202827324599	0.329742552385895	0.344261840292245	0.358741305865082	0.373162734582365	0.387509060724491	0.401764341929753	0.415913730766437	0.42994344386147	0.443840729065039	0.45759383107622	0.471191955905581	0.484625234506668	0.49788468586847	0.510962179825274	0.523850399808061	0.536542805732703	0.549033597194173	0.561317677112589	0.573390615955999	0.585248616645902	0.596888480234778	0.608307572429712	0.619503791022853	0.630475534277376	0.641221670306986	0.651741507477502	0.662034765850698	0.672101549683118	0.681942320986102	0.691557874147498	0.700949311610544	0.710118020601062	0.719065650890306	0.727794093577627	0.736305460874297	0.744602066867552	0.752686409241949	0.760561151933528	0.768229108690975	0.775693227516982	0.782956575962193	0.790022327243606	0.796893747158895	0.803574181767971	0.810067045813009	0.81637581184829	0.822504000051407	0.828455168687657	0.834232905199886	0.839840817896451	0.845282528210552	0.850561663504722	0.855681850394915	0.860646708569268	0.865459845077325	0.870124849066209	0.874645286940951	0.879024697926948	0.883266590013227	0.887374436256001	0.891351671422675	0.8952016889573	0.898927838249107	0.902533422186586	0.906021694980213	0.909395860237689	0.912659069276222	0.915814419657068	0.918864953928226	0.921813658561791	0.924663463073142	0.92741723930971	0.930077800897701	0.932647902835689	0.93513024122457	0.93752745312389	0.939842116525083	0.94207675043265	0.944233815044786	0.946315712025423	0.948324784860103	0.950263319288505	0.952133543806881	0.953937630234009	0.955677694334683	0.957355796495082	0.958973942444715	0.960534084019977	0.962038119964614	0.963487896762753	0.964885209500382	0.966231802751452	0.967529371485031	0.968779561990172	0.969983972815392	0.971144155719863	0.972261616633653	0.973337816624501	0.974374172868847	0.975372059624977	0.976332809206311	0.977257712953042	0.97814802220045	0.97900494924238	0.979829668288474	0.980623316413903	0.981386994500446	0.982121768167847	0.982828668694538	0.983508693926859	0.984162809176015	0.984791948102119	0.985397013584693	0.985978878579129	0.986538386958648	0.987076354341367	0.987593568902137	0.988090792168898	0.988568759803295	0.989028182365417	0.989469746062492	0.989894113481474	0.99030192430545	0.99069379601387	0.991070324566585	0.991432085071768	0.991779632437763	0.992113502008976	0.992434210185906	0.992742255029473	0.993038116849787	0.993322258779536	0.993595127332175	0.993857152945126	0.994108750508197	0.99435031987744	0.994582246374692	0.994804901273021	0.995018642268353	0.995223813937501	0.995420748182882	0.995609764664167	0.995791171217139	0.995965264260022	0.996132329187556	0.996292640753081	0.996446463438908	0.99659405181525	0.996735650887969	0.996871496435429	0.99700181533471	0.997126825877445	0.997246738075554	0.99736175395714	0.997472067852777	0.997577866672489	0.997679330173625	0.997776631219918	0.997869936031942	0.997959404429229	0.998045190064269	0.998127440648628	0.998206298171415	0.998281899110325	0.998354374635458	0.998423850806161	0.998490448761064	0.998554284901555	0.99861547106886	0.998674114714954	0.998730319067466	0.998784183288798	0.998835802629605	0.998885268576846	0.998932668996557	0.99897808827153	0.999021607434055	0.999063304293885	0.999103253561587	0.999141526967423	0.999178193375918	0.999213318896245	0.999246966988586	0.999279198566583	0.999310072096028	0.999339643689915	0.999367967199968	0.999395094304785	0.999421074594697	0.999445955653466	0.999469783136929	0.999492600848689	0.999514450812969	0.999535373344716	0.999555407117061	0.99957458922622	0.999592955253941	0.999610539327565	0.999627374177809	0.999643491194331	0.999658920479173	0.999673690898153	0.999687830130279	0.999701364715262	0.999714320099186	0.999726720678425	0.999738589841839	0.999749950011352	0.999760822680929	0.999771228454052	0.999781187079717	0.999790717487031	0.999799837818452	0.999808565461715	0.999816917080515	0.999824908643966	0.999832555454911	0.999839872177097	0.999846872861291	0.99985357097034	0.999859979403254	0.999866110518316	0.999871976155276	0.999877587656661	0.999882955888229	0.999888091258604	0.999893003738125	0.999897702876937	0.999902197822355	0.999906497335524	0.999910609807416	0.999914543274173	0.999918305431828	0.999921903650437	0.999925344987636	0.999928636201637	0.999931783763713	0.999934793870158	0.999937672453774	0.999940425194873	0.999943057531845	0.999945574671283	0.999947981597697	0.999950283082833	0.999952483694598	0.999954587805632	0.999956599601517	0.999958523088656	0.999960362101813	0.999962120311362	0.999963801230218	0.999965408220488	0.999966944499851	0.999968413147665	0.999969817110828	0.999971159209388	0.999972442141925	0.999973668490708	0.999974840726635	0.999975961213969	0.999977032214875	0.999978055893765	0.999979034321469	0.999979969479221	0.999980863262484	0.999981717484616	0.999982533880375	0.999983314109282	0.999984059758846	0.999984772347641	0.999985453328266	0.999986104090173	0.999986725962379	0.999987320216059	0.999987888067035	0.999988430678155	0.999988949161573	0.999989444580935	0.999989917953463	0.999990370251967	0.999990802406751	0.999991215307456	0.999991609804812	0.999991986712324	0.99999234680788	0.999992690835294	0.999993019505781	0.99999333349937	0.999993633466257	0.999993920028099	0.999994193779253	0.999994455287963	0.999994705097495	0.99999494372722	0.999995171673659	0.999995389411476	0.999995597394427	0.999995796056277	0.999995985811668	0.999996167056955	0.999996340171005	0.999996505515957	0.999996663437961	0.999996814267869	0.99999695832191	0.999997095902326	0.99999722729799	0.999997352784987	0.999997472627176	0.999997587076728	0.999997696374637	0.999997800751212	0.999997900426546	0.999997995610966	0.99999808650546	0.999998173302091	0.999998256184388	0.999998335327722	0.999998410899666	0.999998483060339	0.999998551962734	0.999998617753031	0.999998680570903	0.999998740549797	0.999998797817212	0.999998852494964	0.999998904699433	0.999998954541806	0.999999002128307	0.999999047560417	0.999999090935083	0.999999132344918	0.999999171878395	0.999999209620033	0.999999245650565	0.999999280047115	0.999999312883351	0.999999344229642	0.999999374153207	0.999999402718249	0.999999429986093	0.999999456015315	0.999999480861862	0.99999950457917	0.999999527218275	0.999999548827924	0.999999569454669	0.999999589142974	0.999999607935303	0.999999625872209	0.999999642992423	0.99999965933293	0.999999674929052	0.999999689814521	0.999999704021548	0.999999717580893	0.999999730521931	0.99999974287271	0.999999754660015	0.999999765909423	0.999999776645353	0.999999786891127	0.99999979666901	0.999999806000262	0.999999814905184	0.999999823403157	0.999999831512688	0.999999839251445	0.999999846636298	0.999999853683354	0.99999986040799	0.999999866824887	0.99999987294806	0.999999878790892	0.999999884366157	0.999999889686051	0.999999894762216	0.999999899605766	0.999999904227314	0.999999908636987	0.999999912844454	0.999999916858946	0.999999920689274	0.999999924343848	0.999999927830697	0.999999931157484	0.999999934331525	0.999999937359801	0.999999940248979	0.999999943005418	0.999999945635192	0.999999948144096	0.999999950537661	0.999999952821167	0.999999954999654	0.999999957077931	0.999999959060589	0.999999960952008	0.999999962756369	0.999999964477664	0.9999999661197	0.999999967686113	0.99999996918037	0.999999970605782	0.999999971965509	0.999999973262565	0.999999974499826	0.99999997568004	0.999999976805825	0.999999977879682	0.999999978903997	0.999999979881046	0.999999980813002	0.999999981701939	0.999999982549834	0.999999983358575	0.999999984129964	0.999999984865718	0.999999985567478	0.999999986236808	0.999999986875203	0.999999987484085	0.999999988064815	0.999999988618689	0.999999989146945	0.999999989650763	0.99999999013127	0.99999999058954	0.9999999910266	0.999999991443426	0.999999991840953	0.99999999222007	0.999999992581628	0.999999992926437	0.999999993255269	0.999999993568864	0.999999993867923	0.99999999415312	0.999999994425093	0.999999994684455	0.999999994931788	0.999999995167648	0.999999995392565	0.999999995607046	0.999999995811572	0.999999996006605	0.999999996192584	0.999999996369927	0.999999996539035	0.999999996700288	0.999999996854051	0.999999997000669	0.999999997140474	0.999999997273782	0.999999997400893	0.999999997522095	0.999999997637661	0.999999997747852	0.999999997852919	0.999999997953098	0.999999998048616	0.999999998139689	0.999999998226524	0.999999998309317	0.999999998388256	0.999999998463519	0.999999998535277	0.999999998603694
