"Threshold"	"Confidence"	"Samples"
"1"	0.1	0.9	42
"2"	0.1	0.95	51
"3"	0.1	0.975	59
"4"	0.05	0.9	88
"5"	0.05	0.95	106
"6"	0.05	0.975	123
"7"	0.01	0.9	458
"8"	0.01	0.95	550
"9"	0.01	0.975	637
