"Web" "Proportion" "Obs_NODF" "Sample_mean" "Sample_SD"
"1" "P1.web" "0.1" "6.55739977134474" "0.751295800655879" "0.0731826528764484"
"2" "P1.web" "0.2" "6.55739977134474" "1.36375355509397" "0.0719399835033381"
"3" "P1.web" "0.3" "6.55739977134474" "2.01596275753031" "0.0843122564019913"
"4" "P1.web" "0.4" "6.55739977134474" "2.64238317185667" "0.0811943141832214"
"5" "P1.web" "0.5" "6.55739977134474" "3.23481524836047" "0.0828486066382529"
"6" "P1.web" "0.6" "6.55739977134474" "3.88470918028578" "0.0835234648116975"
"7" "P1.web" "0.7" "6.55739977134474" "4.50612497841251" "0.0811816681629546"
"8" "P1.web" "0.8" "6.55739977134474" "5.13871543595834" "0.0598041312857611"
"9" "P1.web" "0.9" "6.55739977134474" "5.77669431031975" "0.0458105809200345"
"10" "P2.web" "0.1" "6.57211706987298" "0.758495524303236" "0.0751339388919672"
"11" "P2.web" "0.2" "6.57211706987298" "1.38822937471523" "0.0727675454897369"
"12" "P2.web" "0.3" "6.57211706987298" "2.02214890929867" "0.083392709585444"
"13" "P2.web" "0.4" "6.57211706987298" "2.67139906708227" "0.0814888051260133"
"14" "P2.web" "0.5" "6.57211706987298" "3.23260592555959" "0.0763399155719809"
"15" "P2.web" "0.6" "6.57211706987298" "3.84820331547101" "0.0717523183465708"
"16" "P2.web" "0.7" "6.57211706987298" "4.50321942266356" "0.0776111676239127"
"17" "P2.web" "0.8" "6.57211706987298" "5.13037318750862" "0.0611462019815322"
"18" "P2.web" "0.9" "6.57211706987298" "5.77323556160899" "0.0495324421739937"
"19" "P3.web" "0.1" "6.36480841617242" "0.738825627287523" "0.0634067904637203"
"20" "P3.web" "0.2" "6.36480841617242" "1.33790819903304" "0.0729727449769896"
"21" "P3.web" "0.3" "6.36480841617242" "1.95642429106387" "0.0708988682508779"
"22" "P3.web" "0.4" "6.36480841617242" "2.56811007557984" "0.0767619406046746"
"23" "P3.web" "0.5" "6.36480841617242" "3.27100777275967" "0.0771287493443047"
"24" "P3.web" "0.6" "6.36480841617242" "3.91377070484301" "0.0629556925876461"
"25" "P3.web" "0.7" "6.36480841617242" "4.54968429418762" "0.0675939634456626"
"26" "P3.web" "0.8" "6.36480841617242" "5.20255794710124" "0.0581600950867282"
"27" "P3.web" "0.9" "6.36480841617242" "5.83599360856642" "0.0471906846154737"
"28" "P4.web" "0.1" "6.67406048592941" "0.74663792546986" "0.0637582766152565"
"29" "P4.web" "0.2" "6.67406048592941" "1.39827111190827" "0.0932065591328747"
"30" "P4.web" "0.3" "6.67406048592941" "2.05567761644811" "0.0813301313579824"
"31" "P4.web" "0.4" "6.67406048592941" "2.70266235148046" "0.0744112866082385"
"32" "P4.web" "0.5" "6.67406048592941" "3.29799888202463" "0.0936710821718216"
"33" "P4.web" "0.6" "6.67406048592941" "3.94725654329314" "0.0765155007866713"
"34" "P4.web" "0.7" "6.67406048592941" "4.59021652852236" "0.0701081613045297"
"35" "P4.web" "0.8" "6.67406048592941" "5.22350072115357" "0.0547296998424285"
"36" "P4.web" "0.9" "6.67406048592941" "5.8736778838356" "0.0426947366574339"
"37" "P5.web" "0.1" "6.38580752729149" "0.737193335581042" "0.0651432241224029"
"38" "P5.web" "0.2" "6.38580752729149" "1.34695843305701" "0.079997737209256"
"39" "P5.web" "0.3" "6.38580752729149" "1.97413512507086" "0.0719175525636873"
"40" "P5.web" "0.4" "6.38580752729149" "2.61037096447179" "0.0683188793243866"
"41" "P5.web" "0.5" "6.38580752729149" "3.32879919230834" "0.0783582327218314"
"42" "P5.web" "0.6" "6.38580752729149" "3.97369233876848" "0.0764280733144903"
"43" "P5.web" "0.7" "6.38580752729149" "4.63205875531385" "0.0618753635030666"
"44" "P5.web" "0.8" "6.38580752729149" "5.27291509242586" "0.0555062920679716"
"45" "P5.web" "0.9" "6.38580752729149" "5.93816557127457" "0.0490799741810786"
"46" "P6.web" "0.1" "6.37094237360112" "0.730350082277199" "0.070208069544031"
"47" "P6.web" "0.2" "6.37094237360112" "1.35030055704134" "0.0724987080473302"
"48" "P6.web" "0.3" "6.37094237360112" "1.97886421581325" "0.0822140216266305"
"49" "P6.web" "0.4" "6.37094237360112" "2.59434312207083" "0.0807423486399003"
"50" "P6.web" "0.5" "6.37094237360112" "3.31397911110593" "0.0716585846656"
"51" "P6.web" "0.6" "6.37094237360112" "3.96698916011277" "0.0660251931032655"
"52" "P6.web" "0.7" "6.37094237360112" "4.61218947538713" "0.0686276315381168"
"53" "P6.web" "0.8" "6.37094237360112" "5.26670055587896" "0.053561970438301"
"54" "P6.web" "0.9" "6.37094237360112" "5.91625880608492" "0.0475602471065543"
"55" "P7.web" "0.1" "6.3505472309216" "0.7128288124491" "0.0749504310718053"
"56" "P7.web" "0.2" "6.3505472309216" "1.34062718889186" "0.0733893124030257"
"57" "P7.web" "0.3" "6.3505472309216" "1.93843382997493" "0.0748440677855975"
"58" "P7.web" "0.4" "6.3505472309216" "2.57495590714421" "0.0759233335483244"
"59" "P7.web" "0.5" "6.3505472309216" "3.28070950688505" "0.0803499727164884"
"60" "P7.web" "0.6" "6.3505472309216" "3.91931047236543" "0.0715905018838637"
