Web	Proportion	Obs_C	Sample_mean	Sample_SD
1	0.5	0.184110449735	0.0920727777778	0.000199701938392
2	0.5	0.185515873016	0.0928219883041	0.000219098092373
3	0.5	0.186590608466	0.0933758880804	0.000323521261267
4	0.5	0.192791005291	0.0964109259259	0.000107962962963
5	0.5	0.193948412698	0.0969897222222	0.000108611111111
6	0.5	0.191468253968	0.0957826214394	0.000221906949085
7	0.5	0.186342592593	0.0932085648148	0.000162449705998
8	0.5	0.186507936508	0.0933586533538	0.000299905781531
9	0.5	0.188822751323	0.0944568149428	0.00020962337076
10	0.5	0.190228174603	0.0951032972777	0.000184799256913
11	0.5	0.191220238095	0.0955764285714	7.60717908264e-05
12	0.5	0.194031084656	0.0970207539683	0.00018424078397
13	0.5	0.190724206349	0.0953512698413	0.000149431834573
14	0.5	0.190972222222	0.0955702620968	0.000262973399154
15	0.5	0.188161375661	0.0941258465608	0.000178743403374
16	0.5	0.188161375661	0.0941810299157	0.000281801951622
17	0.5	0.189566798942	0.0947952412954	0.000221915158431
18	0.5	0.193369708995	0.096666712963	0.000131889194085
19	0.5	0.186259920635	0.0931482010582	0.000202034485741
20	0.5	0.191633597884	0.095885787037	0.000219368161596
21	0.5	0.192542989418	0.096284047619	0.000196422703135
22	0.5	0.188657407407	0.0944044100956	0.000273370669056
23	0.5	0.190393518519	0.0951858730159	0.000149172629309
24	0.5	0.186507936508	0.093328812084	0.000270256016385
25	0.5	0.192791005291	0.0964263492063	0.000151116668788
26	0.5	0.186177248677	0.0931109656085	0.00012703783793
27	0.5	0.189732142857	0.0948627876984	0.000198009462688
28	0.5	0.188492063492	0.0942988095238	0.000192372750493
29	0.5	0.19105489418	0.0955319444444	0.000181413559663
30	0.5	0.192294973545	0.0962938790749	0.000339724077352
31	0.5	0.195436507937	0.0977573412698	0.000170377597595
32	0.5	0.187996031746	0.0940656944444	0.000215204141272
33	0.5	0.192542989418	0.0962918701997	0.000236307327034
34	0.5	0.187996031746	0.0940205753968	0.000128278882528
35	0.5	0.191633597884	0.0958551256614	0.000167062297472
36	0.5	0.191550925926	0.0958975023917	0.000335986761489
37	0.5	0.190641534392	0.0953360185185	0.000106759259259
38	0.5	0.189070767196	0.0945342324561	0.000176458228232
39	0.5	0.189897486772	0.0949833333333	0.000227777777778
40	0.5	0.189732142857	0.0948550793651	0.000148654218782
41	0.5	0.187582671958	0.0938198684211	0.0002232867599
42	0.5	0.191468253968	0.0957724206349	0.000166918153989
43	0.5	0.186177248677	0.0931781095323	0.000264564646093
44	0.5	0.194857804233	0.097426521164	0.00016980102366
45	0.5	0.191385582011	0.0956897156085	0.000166774010505
46	0.5	0.196428571429	0.0982614285714	0.000186596804225
47	0.5	0.189318783069	0.0946769284322	0.000123917452271
48	0.5	0.191550925926	0.0958413492063	0.000265748004252
49	0.5	0.186673280423	0.0933963756614	0.000202572765898
50	0.5	0.18642526455	0.0932160185185	0.000177015655186
51	0.5	0.182622354497	0.091452734255	0.000364495588128
52	0.5	0.192046957672	0.0960435714286	0.00020831442091
53	0.5	0.190972222222	0.09549375	7.6005984779e-05
54	0.5	0.194113756614	0.0971578174603	0.000261124492066
55	0.5	0.191798941799	0.0959531746032	0.000195747711028
56	0.5	0.190724206349	0.0954427777778	0.000279561363825
57	0.5	0.191302910053	0.0957662367725	0.000273235208063
58	0.5	0.192212301587	0.0960878703704	0.000131099438432
59	0.5	0.189236111111	0.0946675132275	0.000245870368648
60	0.5	0.192212301587	0.0961109259259	0.000182513035782
61	0.5	0.193204365079	0.0965762962963	0.000108148148148
62	0.5	0.189649470899	0.0948932539683	0.000266199074034
63	0.5	0.188326719577	0.0942010251323	0.000164179427801
64	0.5	0.195601851852	0.0978322222222	0.00015331991353
65	0.5	0.188988095238	0.0945545238095	0.000205084739966
66	0.5	0.187169312169	0.0936071164021	0.000127714771347
67	0.5	0.187830687831	0.0939453968254	0.000147228589831
68	0.5	0.195023148148	0.0975092261905	0.000169945167144
69	0.5	0.189814814815	0.094952962963	0.000180314083544
70	0.5	0.19246031746	0.0962686507937	0.00016778301489
71	0.5	0.188078703704	0.0940130555556	0.000105277777778
72	0.5	0.190806878307	0.0955029049326	0.000299814915734
73	0.5	0.185185185185	0.0926764132554	0.000239464778432
74	0.5	0.192708333333	0.096451521164	0.000296017449865
75	0.5	0.18998015873	0.0950280753968	0.000165620862637
76	0.5	0.189236111111	0.0946372486772	0.000205264166685
77	0.5	0.191302910053	0.0956744113757	0.000130535327251
78	0.5	0.194692460317	0.0973516005291	0.000184869056038
79	0.5	0.186673280423	0.0933889087302	0.000190516522199
80	0.5	0.188078703704	0.0940582958909	0.00023082597151
81	0.5	0.189484126984	0.0947648015873	0.000129294282653
82	0.5	0.187251984127	0.093614723929	0.000181906746804
83	0.5	0.191220238095	0.0956248392711	0.000232635797702
84	0.5	0.192542989418	0.096284047619	0.000196422703135
85	0.5	0.19212962963	0.0961339814815	0.000219935982549
86	0.5	0.188161375661	0.0941282233361	0.000189397823086
87	0.5	0.192791005291	0.0964186375661	0.000131550727377
88	0.5	0.185433201058	0.0927271626984	0.000189166537985
89	0.5	0.190228174603	0.0951031746032	0.000149043026677
90	0.5	0.190641534392	0.0953841805904	0.000216221838213
91	0.5	0.190062830688	0.0950052777778	0.000106388888889
92	0.5	0.187830687831	0.0940205291005	0.000260699251148
93	0.5	0.191798941799	0.0959301587302	0.000150339052996
94	0.5	0.187334656085	0.093749755291	0.000234460380037
95	0.5	0.192212301587	0.0960648148148	0.0
96	0.5	0.185267857143	0.0926888888889	0.000249113655123
