Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
4	0.8	28.0833333333	22.4583333333	1.06581410364e-14
5	0.8	28.59375	22.875	0.0
6	0.8	27.7395833333	22.1875	0.0
7	0.8	28.15625	22.5208333333	1.06581410364e-14
8	0.8	29.0729166667	23.25	0.0
9	0.8	27.4375	21.9479166667	1.06581410364e-14
10	0.8	28.4895833333	22.7916666667	1.06581410364e-14
11	0.8	28.8541666667	23.0833333333	1.06581410364e-14
12	0.8	28.6458333333	22.9166666667	1.06581410364e-14
13	0.8	28.125	22.5	0.0
14	0.8	28.53125	22.8229166667	1.06581410364e-14
15	0.8	29.4375	23.5416666667	7.1054273576e-15
16	0.8	29.0104166667	23.2083333333	1.06581410364e-14
17	0.8	27.9895833333	22.3854166667	1.06581410364e-14
18	0.8	28.75	23.0	0.0
19	0.8	28.4270833333	22.7395833333	1.06581410364e-14
20	0.8	27.9791666667	22.375	0.0
21	0.8	28.6875	22.9479166667	1.06581410364e-14
22	0.8	28.90625	23.125	0.0
23	0.8	28.5104166667	22.8020833333	1.06581410364e-14
24	0.8	29.09375	23.2708333333	1.06581410364e-14
25	0.8	28.5833333333	22.8645833333	1.06581410364e-14
26	0.8	28.9166666667	23.125	0.0
27	0.8	28.8333333333	23.0625	0.0
28	0.8	28.8854166667	23.1041666667	1.06581410364e-14
29	0.8	29.21875	23.375	0.0
30	0.8	28.8125	23.0416666667	1.06581410364e-14
31	0.8	28.6145833333	22.8854166667	1.06581410364e-14
32	0.8	28.6145833333	22.8854166667	1.06581410364e-14
33	0.8	28.78125	23.0208333333	1.06581410364e-14
34	0.8	28.5625	22.84375	0.0
35	0.8	28.3125	22.6458333333	1.06581410364e-14
36	0.8	28.09375	22.46875	0.0
37	0.8	28.1458333333	22.5104166667	1.06581410364e-14
38	0.8	28.4375	22.75	0.0
39	0.8	28.4166666667	22.7291666667	1.06581410364e-14
40	0.8	28.4270833333	22.7395833333	1.06581410364e-14
41	0.8	28.4270833333	22.7395833333	1.06581410364e-14
42	0.8	28.6458333333	22.9166666667	1.06581410364e-14
43	0.8	28.0729166667	22.4583333333	1.06581410364e-14
44	0.8	28.78125	23.0208333333	1.06581410364e-14
45	0.8	27.96875	22.375	0.0
46	0.8	29.5104166667	23.6041666667	7.1054273576e-15
47	0.8	28.6770833333	22.9375	0.0
48	0.8	28.78125	23.0208333333	1.06581410364e-14
49	0.8	28.1041666667	22.4791666667	1.06581410364e-14
50	0.8	28.5208333333	22.8125	0.0
51	0.8	27.75	22.1979166667	1.06581410364e-14
52	0.8	28.59375	22.875	0.0
53	0.8	28.4375	22.75	0.0
54	0.8	29.4895833333	23.5833333333	7.1054273576e-15
55	0.8	28.4166666667	22.7291666667	1.06581410364e-14
56	0.8	29.3229166667	23.4583333333	7.1054273576e-15
57	0.8	28.2291666667	22.5833333333	1.06581410364e-14
58	0.8	28.6145833333	22.8854166667	1.06581410364e-14
59	0.8	28.0729166667	22.4583333333	1.06581410364e-14
60	0.8	28.96875	23.1666666667	1.06581410364e-14
61	0.8	28.1458333333	22.5104166667	1.06581410364e-14
62	0.8	28.53125	22.8229166667	1.06581410364e-14
63	0.8	29.1354166667	23.3020833333	7.1054273576e-15
64	0.8	28.4583333333	22.7604166667	1.06581410364e-14
65	0.8	28.8333333333	23.0625	0.0
66	0.8	28.7395833333	22.9895833333	1.06581410364e-14
67	0.8	28.8020833333	23.0416666667	1.06581410364e-14
68	0.8	28.7291666667	22.9791666667	1.06581410364e-14
69	0.8	28.5833333333	22.8645833333	1.06581410364e-14
70	0.8	28.5416666667	22.8333333333	1.06581410364e-14
71	0.8	28.5416666667	22.8333333333	1.06581410364e-14
72	0.8	28.5729166667	22.8541666667	1.06581410364e-14
73	0.8	28.5520833333	22.8333333333	1.06581410364e-14
