"Salix" "Rgaller" "cooccur" "interact" "salix_ID" "galler_ID" "post.mean" "post.sd"
"94" "lapponum x glauca?" "Obridg" 0 0 31 60 0.062469330986797 0.000543414899234718
"95" "lapponum x glauca" "Obridg" 0 0 30 60 0.062469330986797 0.000543414899234718
"96" "aurita x caprea" "Obridg" 0 0 7 60 0.062469330986797 0.000543414899234718
"97" "starkeana" "Obridg" 0 0 47 60 0.062469330986797 0.000543414899234718
"98" "hastata x phylicifolia" "Obridg" 0 0 25 60 0.062469330986797 0.000543414899234718
"99" "lapponum x phylicifolia" "Obridg" 0 0 32 60 0.062469330986797 0.000543414899234718
"100" "acutifolia" "Obridg" 0 0 1 60 0.062469330986797 0.000543414899234718
"101" "bicolor" "Obridg" 0 0 8 60 0.062469330986797 0.000543414899234718
"102" "polaris" "Obridg" 0 0 40 60 0.062469330986797 0.000543414899234718
"103" "cinerea x myrsinifolia" "Obridg" 0 0 15 60 0.062469330986797 0.000543414899234718
"104" "fragilis x pentandra" "Obridg" 0 0 20 60 0.062469330986797 0.000543414899234718
"105" "elaeagnos" "Ovaria" 5 0 17 93 0.059699703371357 0.000497763752676545
"106" "appendiculata" "Ovaria" 6 0 5 93 0.0591749893015121 0.000489325195806117
"107" "myrsinifolia" "Ovaria" 50 50 34 93 1 0
"108" "foetida" "Ovaria" 10 0 18 93 0.0571652369936975 0.000457627328680583
"109" "hastata" "Ovaria" 14 0 24 93 0.0552875144773807 0.000428909964189917
"110" "daphnoides" "Ovaria" 7 0 16 93 0.05865941852825 0.000481099202799104
"111" "helvetica" "Ovaria" 7 0 26 93 0.05865941852825 0.000481099202799104
"112" "glaucosericea" "Ovaria" 3 0 23 93 0.0607775518668684 0.000515308394815073
"113" "cinerea" "Ovaria" 1 0 13 93 0.0618950360027647 0.00053379613159122
"114" "purpurea" "Ovaria" 9 0 41 93 0.0576547672961005 0.000465256911416698
"115" "alba" "Ovaria" 2 0 2 93 0.0613312040821622 0.000524430221890415
"116" "fragilis" "Ovaria" 0 0 19 93 0.062469330986797 0.000543414899234718
"117" "repens" "Ovaria" 0 0 42 93 0.062469330986797 0.000543414899234718
"118" "lapponum" "Ovaria" 3 0 29 93 0.0607775518668684 0.000515308394815073
"119" "myrsinites" "Ovaria" 1 0 35 93 0.0618950360027647 0.00053379613159122
"120" "phylicifolia" "Ovaria" 6 0 38 93 0.0591749893015121 0.000489325195806117
"121" "glauca" "Ovaria" 6 0 22 93 0.0591749893015121 0.000489325195806117
"122" "caprea" "Ovaria" 4 0 11 93 0.0602338061390043 0.000506422251976345
"123" "mielichhoferi" "Ovaria" 6 6 33 93 1 0
"124" "waldsteiniana" "Ovaria" 5 0 52 93 0.059699703371357 0.000497763752676545
"125" "pentandra" "Ovaria" 1 0 37 93 0.0618950360027647 0.00053379613159122
"126" "breviserrata" "Ovaria" 5 0 10 93 0.059699703371357 0.000497763752676545
"127" "reticulata" "Ovaria" 2 0 43 93 0.0613312040821622 0.000524430221890415
"128" "retusa" "Ovaria" 2 0 44 93 0.0613312040821622 0.000524430221890415
"129" "aurita" "Ovaria" 0 0 6 93 0.062469330986797 0.000543414899234718
"130" "triandra" "Ovaria" 0 0 48 93 0.062469330986797 0.000543414899234718
"131" "lanata" "Ovaria" 5 0 28 93 0.059699703371357 0.000497763752676545
"132" "herbacea" "Ovaria" 0 0 27 93 0.062469330986797 0.000543414899234718
"133" "borealis" "Ovaria" 1 0 9 93 0.0618950360027647 0.00053379613159122
"134" "myrtilloides" "Ovaria" 1 0 36 93 0.0618950360027647 0.00053379613159122
"135" "viminalis" "Ovaria" 1 0 49 93 0.0618950360027647 0.00053379613159122
"136" "glabra" "Ovaria" 0 0 21 93 0.062469330986797 0.000543414899234718
"137" "apennina" "Ovaria" 1 1 4 93 1 0
"138" "rubens" "Ovaria" 0 0 46 93 0.062469330986797 0.000543414899234718
"139" "rosmarinifolia" "Ovaria" 0 0 45 93 0.062469330986797 0.000543414899234718
"140" "caprea x appendiculata" "Ovaria" 0 0 12 93 0.062469330986797 0.000543414899234718
"141" "cinerea oleifolia" "Ovaria" 0 0 14 93 0.062469330986797 0.000543414899234718
"142" "viminalis x caprea" "Ovaria" 0 0 51 93 0.062469330986797 0.000543414899234718
