"Threshold"	"Confidence"	"Samples"
"1"	0.1	0.9	0
"2"	0.1	0.95	0
"3"	0.1	0.975	0
"4"	0.05	0.9	0
"5"	0.05	0.95	0
"6"	0.05	0.975	0
"7"	0.01	0.9	951
"8"	0.01	0.95	1092
"9"	0.01	0.975	1223
