"Threshold"	"Confidence"	"Samples"
"1"	0.5	0.9	0
"2"	0.5	0.95	0
"3"	0.5	0.975	0
"4"	0.25	0.9	1
"5"	0.25	0.95	3
"6"	0.25	0.975	6
"7"	0.1	0.9	18
"8"	0.1	0.95	25
"9"	0.1	0.975	32
"10"	0.05	0.9	47
"11"	0.05	0.95	62
"12"	0.05	0.975	76
