"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"77" "Esubge" "Aacumi" 0 0 1 24 0.123873302707661 0.0100216317395944
"78" "Egemmc" "Aacumi" 0 0 1 9 0.123873302707661 0.0100216317395944
"79" "Eaurit" "Aacumi" 5 5 1 4 1 0
"80" "Ospset" "Aacumi" 0 0 1 91 0.123873302707661 0.0100216317395944
"81" "Emyrti" "Aacumi" 0 0 1 18 0.123873302707661 0.0100216317395944
"82" "Esmyrt" "Aacumi" 0 0 1 23 0.123873302707661 0.0100216317395944
"83" "Esmyrs" "Aacumi" 0 0 1 22 0.123873302707661 0.0100216317395944
"84" "Eciner" "Aacumi" 1 1 1 6 1 0
"85" "Eappen" "Aacumi" 1 1 1 2 1 0
"86" "Hpscho" "Aacumi" 0 0 1 45 0.123873302707661 0.0100216317395944
"87" "Hplicp" "Aacumi" 0 0 1 42 0.123873302707661 0.0100216317395944
"88" "Hscapr" "Aacumi" 0 0 1 47 0.123873302707661 0.0100216317395944
"89" "Hanoma" "Aacumi" 0 0 1 31 0.123873302707661 0.0100216317395944
"90" "Oaacut" "Aacumi" 0 0 1 55 0.123873302707661 0.0100216317395944
"91" "Hpurpu" "Aacumi" 0 0 1 46 0.123873302707661 0.0100216317395944
"92" "Opolar" "Aacumi" 0 0 1 83 0.123873302707661 0.0100216317395944
"93" "Opprox" "Aacumi" 0 0 1 84 0.123873302707661 0.0100216317395944
"94" "Hspecc" "Aacumi" 0 0 1 51 0.123873302707661 0.0100216317395944
"95" "Hsglau" "Aacumi" 0 0 1 49 0.123873302707661 0.0100216317395944
"96" "Hslana" "Aacumi" 0 0 1 50 0.123873302707661 0.0100216317395944
"97" "Oelaea" "Aalvea" 0 0 2 63 0.123873302707661 0.0100216317395944
"98" "Obridg" "Aalvea" 2 0 2 60 0.104562521176688 0.00729799316398454
"99" "Ovaria" "Aalvea" 1 1 2 93 1 0
"100" "Oobscu" "Aalvea" 0 0 2 81 0.123873302707661 0.0100216317395944
"101" "Okriec" "Aalvea" 1 0 2 71 0.113401695210061 0.00849927892281892
"102" "Onigri" "Aalvea" 1 0 2 78 0.113401695210061 0.00849927892281892
"103" "Ofoeti" "Aalvea" 0 0 2 64 0.123873302707661 0.0100216317395944
"104" "Ohasta" "Aalvea" 0 0 2 68 0.123873302707661 0.0100216317395944
"105" "Oadaph" "Aalvea" 0 0 2 56 0.123873302707661 0.0100216317395944
"106" "Ohelve" "Aalvea" 0 0 2 69 0.123873302707661 0.0100216317395944
"107" "Onival" "Aalvea" 0 0 2 79 0.123873302707661 0.0100216317395944
"108" "Ovimin" "Aalvea" 2 2 2 95 1 0
"109" "Oproxi" "Aalvea" 1 0 2 85 0.113401695210061 0.00849927892281892
"110" "Ocolla" "Aalvea" 0 0 2 61 0.123873302707661 0.0100216317395944
"111" "Osamol" "Aalvea" 0 0 2 89 0.123873302707661 0.0100216317395944
"112" "Omyrsi" "Aalvea" 0 0 2 76 0.123873302707661 0.0100216317395944
"113" "Oarcti" "Aalvea" 0 0 2 57 0.123873302707661 0.0100216317395944
"114" "Eboreo" "Aalvea" 0 0 2 5 0.123873302707661 0.0100216317395944
"115" "Oglauc" "Aalvea" 0 0 2 67 0.123873302707661 0.0100216317395944
"116" "Elappo" "Aalvea" 0 0 2 15 0.123873302707661 0.0100216317395944
"117" "Elappc" "Aalvea" 0 0 2 14 0.123873302707661 0.0100216317395944
"118" "Olappo" "Aalvea" 0 0 2 73 0.123873302707661 0.0100216317395944
"119" "Olappl" "Aalvea" 0 0 2 72 0.123873302707661 0.0100216317395944
"120" "Emyrsi" "Aalvea" 0 0 2 17 0.123873302707661 0.0100216317395944
"121" "Ogalla" "Aalvea" 0 0 2 65 0.123873302707661 0.0100216317395944
"122" "Hischn" "Aalvea" 0 0 2 34 0.123873302707661 0.0100216317395944
"123" "Ehasta" "Aalvea" 0 0 2 12 0.123873302707661 0.0100216317395944
"124" "Egemmf" "Aalvea" 0 0 2 10 0.123873302707661 0.0100216317395944
"125" "Omonti" "Aalvea" 0 0 2 75 0.123873302707661 0.0100216317395944
"126" "Eelaea" "Aalvea" 0 0 2 8 0.123873302707661 0.0100216317395944
"127" "Hcarin" "Aalvea" 0 0 2 32 0.123873302707661 0.0100216317395944
"128" "Egemmh" "Aalvea" 0 0 2 11 0.123873302707661 0.0100216317395944
"129" "Hplicg" "Aalvea" 0 0 2 40 0.123873302707661 0.0100216317395944
"130" "Omacul" "Aalvea" 0 0 2 74 0.123873302707661 0.0100216317395944
"131" "Hspirh" "Aalvea" 0 0 2 53 0.123873302707661 0.0100216317395944
"132" "Obrevi" "Aalvea" 0 0 2 59 0.123873302707661 0.0100216317395944
"133" "Oretic" "Aalvea" 0 0 2 87 0.123873302707661 0.0100216317395944
"134" "Oretus" "Aalvea" 0 0 2 88 0.123873302707661 0.0100216317395944
"135" "Enigri" "Aalvea" 1 0 2 19 0.113401695210061 0.00849927892281892
"136" "Emucro" "Aalvea" 0 0 2 16 0.123873302707661 0.0100216317395944
"137" "Ovesic" "Aalvea" 1 1 2 94 1 0
"138" "Oviril" "Aalvea" 0 0 2 96 0.123873302707661 0.0100216317395944
"139" "Opedun" "Aalvea" 1 0 2 82 0.113401695210061 0.00849927892281892
"140" "Otrian" "Aalvea" 0 0 2 92 0.123873302707661 0.0100216317395944
"141" "Oglabr" "Aalvea" 0 0 2 66 0.123873302707661 0.0100216317395944
"142" "Opustu" "Aalvea" 0 0 2 86 0.123873302707661 0.0100216317395944
"143" "Oherba" "Aalvea" 0 0 2 70 0.123873302707661 0.0100216317395944
"144" "Evenus" "Aalvea" 0 0 2 26 0.123873302707661 0.0100216317395944
"145" "Onorve" "Aalvea" 0 0 2 80 0.123873302707661 0.0100216317395944
"146" "Ephyli" "Aalvea" 0 0 2 20 0.123873302707661 0.0100216317395944
"147" "Ospeit" "Aalvea" 0 0 2 90 0.123873302707661 0.0100216317395944
"148" "Obella" "Aalvea" 1 0 2 58 0.113401695210061 0.00849927892281892
"149" "Hpruss" "Aalvea" 0 0 2 44 0.123873302707661 0.0100216317395944
"150" "Odolic" "Aalvea" 0 0 2 62 0.123873302707661 0.0100216317395944
"151" "Hspira" "Aalvea" 0 0 2 52 0.123873302707661 0.0100216317395944
"152" "Elanat" "Aalvea" 0 0 2 13 0.123873302707661 0.0100216317395944
"153" "Omyrti" "Aalvea" 0 0 2 77 0.123873302707661 0.0100216317395944
"154" "Hnudip" "Aalvea" 0 0 2 37 0.123873302707661 0.0100216317395944
"155" "Hleuco" "Aalvea" 1 0 2 36 0.113401695210061 0.00849927892281892
"156" "Hacuti" "Aalvea" 0 0 2 28 0.123873302707661 0.0100216317395944
"157" "Hplicl" "Aalvea" 0 0 2 41 0.123873302707661 0.0100216317395944
"158" "Etesta" "Aalvea" 0 0 2 25 0.123873302707661 0.0100216317395944
"159" "Hplicd" "Aalvea" 0 0 2 39 0.123873302707661 0.0100216317395944
"160" "Edaphn" "Aalvea" 0 0 2 7 0.123873302707661 0.0100216317395944
"161" "Hpolit" "Aalvea" 0 0 2 43 0.123873302707661 0.0100216317395944
