"Threshold"	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"80"	"81"	"82"	"83"	"84"	"85"	"86"	"87"	"88"	"89"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"97"	"98"	"99"	"100"	"101"	"102"	"103"	"104"	"105"	"106"	"107"	"108"	"109"	"110"	"111"	"112"	"113"	"114"	"115"	"116"	"117"	"118"	"119"	"120"	"121"	"122"	"123"	"124"	"125"	"126"	"127"	"128"	"129"	"130"	"131"	"132"	"133"	"134"	"135"	"136"	"137"	"138"	"139"	"140"	"141"	"142"	"143"	"144"	"145"	"146"	"147"	"148"	"149"	"150"	"151"	"152"	"153"	"154"	"155"	"156"	"157"	"158"	"159"	"160"	"161"	"162"	"163"	"164"	"165"	"166"	"167"	"168"	"169"	"170"	"171"	"172"	"173"	"174"	"175"	"176"	"177"	"178"	"179"	"180"	"181"	"182"	"183"	"184"	"185"	"186"	"187"	"188"	"189"	"190"	"191"	"192"	"193"	"194"	"195"	"196"	"197"	"198"	"199"	"200"	"201"	"202"	"203"	"204"	"205"	"206"	"207"	"208"	"209"	"210"	"211"	"212"	"213"	"214"	"215"	"216"	"217"	"218"	"219"	"220"	"221"	"222"	"223"	"224"	"225"	"226"	"227"	"228"	"229"	"230"	"231"	"232"	"233"	"234"	"235"	"236"	"237"	"238"	"239"	"240"	"241"	"242"	"243"	"244"	"245"	"246"	"247"	"248"	"249"	"250"	"251"	"252"	"253"	"254"	"255"	"256"	"257"	"258"	"259"	"260"	"261"	"262"	"263"	"264"	"265"	"266"	"267"	"268"	"269"	"270"	"271"	"272"	"273"	"274"	"275"	"276"	"277"	"278"	"279"	"280"	"281"	"282"	"283"	"284"	"285"	"286"	"287"	"288"	"289"	"290"	"291"	"292"	"293"	"294"	"295"	"296"	"297"	"298"	"299"	"300"	"301"	"302"	"303"	"304"	"305"	"306"	"307"	"308"	"309"	"310"	"311"	"312"	"313"	"314"	"315"	"316"	"317"	"318"	"319"	"320"	"321"	"322"	"323"	"324"	"325"	"326"	"327"	"328"	"329"	"330"	"331"	"332"	"333"	"334"	"335"	"336"	"337"	"338"	"339"	"340"	"341"	"342"	"343"	"344"	"345"	"346"	"347"	"348"	"349"	"350"	"351"	"352"	"353"	"354"	"355"	"356"	"357"	"358"	"359"	"360"	"361"	"362"	"363"	"364"	"365"	"366"	"367"	"368"	"369"	"370"	"371"	"372"	"373"	"374"	"375"	"376"	"377"	"378"	"379"	"380"	"381"	"382"	"383"	"384"	"385"	"386"	"387"	"388"	"389"	"390"	"391"	"392"	"393"	"394"	"395"	"396"	"397"	"398"	"399"	"400"	"401"	"402"	"403"	"404"	"405"	"406"	"407"	"408"	"409"	"410"	"411"	"412"	"413"	"414"	"415"	"416"	"417"	"418"	"419"	"420"	"421"	"422"	"423"	"424"	"425"	"426"	"427"	"428"	"429"	"430"	"431"	"432"	"433"	"434"	"435"	"436"	"437"	"438"	"439"	"440"	"441"	"442"	"443"	"444"	"445"	"446"	"447"	"448"	"449"	"450"	"451"	"452"	"453"	"454"	"455"	"456"	"457"	"458"	"459"	"460"	"461"	"462"	"463"	"464"	"465"	"466"	"467"	"468"	"469"	"470"	"471"	"472"	"473"	"474"	"475"	"476"	"477"	"478"	"479"	"480"	"481"	"482"	"483"	"484"	"485"	"486"	"487"	"488"	"489"	"490"	"491"	"492"	"493"	"494"	"495"	"496"	"497"	"498"	"499"	"500"
"1"	0.5	0.997196269338369	0.998556113671323	0.999258173515484	0.99961963778097	0.99980531197122	0.999900499452435	0.999949214970086	0.999974109769446	0.999986814964831	0.999993291606643	0.99999658974045	0.999998267703232	0.999999120668178	0.999999553928158	0.999999773847668	0.99999988540607	0.999999941963099	0.99999997062048	0.999999985133894	0.999999992480749	0.99999999619821	0.999999998078465	0.999999999029122	0.999999999509606	0.999999999752373	0.999999999874994	0.999999999936911	0.999999999968168	0.999999999983943	0.999999999991902	0.999999999995917	0.999999999997942	0.999999999998962	0.999999999999477	0.999999999999737	0.999999999999867	0.999999999999933	0.999999999999966	0.999999999999983	0.999999999999991	0.999999999999996	0.999999999999998	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"2"	0.25	0.890856454503032	0.915999134924883	0.935470113187975	0.950507427132157	0.962093805192348	0.971003590735026	0.977843431583885	0.983086415969393	0.987100094090807	0.990169132553041	0.992513426047554	0.994302454689963	0.995666589880994	0.996705950036956	0.997497307143783	0.998099453815259	0.998557361417284	0.998905393286489	0.999169782271468	0.999370537360296	0.999522908482837	0.999638510200686	0.999726182582964	0.999792649958424	0.999843024466017	0.999881190600953	0.99991009862574	0.999931988267574	0.999948559142518	0.999961100507204	0.999970589984345	0.999977768638637	0.999983198038411	0.999987303604464	0.999990407526569	0.999992753747765	0.999994526920441	0.999995866783381	0.999996879062096	0.999997643730495	0.999998221270707	0.999998657414743	0.99999898673519	0.999999235363617	0.999999423048092	0.999999564710114	0.999999671622483	0.999999752300222	0.99999981317431	0.999999859101069	0.999999893747245	0.999999919881037	0.999999939592033	0.999999954457379	0.999999965667316	0.999999974119989	0.999999980493063	0.999999985297792	0.999999988919846	0.999999991650132	0.999999993708057	0.999999995259085	0.999999996427992	0.999999997308859	0.999999997972622	0.999999998472758	0.999999998849579	0.999999999133473	0.999999999347344	0.999999999508455	0.999999999629813	0.999999999721223	0.999999999790071	0.999999999841924	0.999999999880974	0.999999999910382	0.999999999932527	0.999999999949202	0.999999999961757	0.999999999971211	0.999999999978328	0.999999999983687	0.999999999987721	0.999999999990758	0.999999999993044	0.999999999994765	0.99999999999606	0.999999999997035	0.999999999997768	0.999999999998321	0.999999999998736	0.999999999999049	0.999999999999285	0.999999999999462	0.999999999999595	0.999999999999695	0.999999999999771	0.999999999999827	0.99999999999987	0.999999999999902	0.999999999999927	0.999999999999945	0.999999999999958	0.999999999999969	0.999999999999976	0.999999999999982	0.999999999999987	0.99999999999999	0.999999999999992	0.999999999999994	0.999999999999996	0.999999999999997	0.999999999999998	0.999999999999998	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"3"	0.1	0.496080020555966	0.537561316862916	0.576110019157149	0.611835123301793	0.644866918559589	0.67534818305564	0.703427915887771	0.729256867883809	0.752984369299701	0.774756104527668	0.794712584534258	0.812988136337144	0.829710276671078	0.844999371036296	0.858968503965008	0.871723504442855	0.883363083886148	0.893979054197617	0.903656601101416	0.912474593825934	0.920505916714887	0.927817811833223	0.934472224337661	0.940526144483118	0.946031941771994	0.951037688026643	0.955587467155475	0.959721670150988	0.963477274451076	0.966888107250097	0.969985092692439	0.972796483141656	0.975348074910611	0.977663408976951	0.979763957304984	0.981669295458777	0.983397262229309	0.984964107016598	0.986384625710488	0.987672285804991	0.988839341463628	0.989896939229466	0.990855215045397	0.991723383219065	0.992509817933965	0.993222127874395	0.993867224497966	0.9944513844557	0.994980306626835	0.995459164203552	0.995892652230225	0.996285030972535	0.996640165464	0.996961561551274	0.997252398734819	0.99751556007841	0.997753659439268	0.997969066250379	0.998163928067783	0.998340191078141	0.998499618745683	0.998643808762719	0.998774208453997	0.998892128772479	0.998998757012321	0.999095168354022	0.999182336346771	0.999261142423862	0.999332384538676	0.999396785001025	0.999454997586629	0.999507613986017	0.999555169653268	0.999598149109596	0.999636990751858	0.999672091211553	0.99970380930578	0.999732469617854	0.99975836574188	0.999781763222431	0.999802902217677	0.999821999911678	0.999839252699234	0.999854838164505	0.999868916872684	0.999881633992217	0.999893120763449	0.999903495828111	0.999912866432718	0.999921329517731	0.999928972703255	0.999935875181014	0.999942108521452	0.999947737403975	0.999952820277604	0.999957409958627	0.999961554171207	0.999965296036379	0.999968674514299	0.999971724804221	0.999974478706194	0.999976964948135	0.999979209481563	0.999981235748999	0.999983064925708	0.999984716138249	0.999986206662046	0.999987552099976	0.999988766543794	0.999989862720035	0.999990852121887	0.999991745128364	0.999992551112002	0.999993278536194	0.999993935043127	0.999994527533251	0.99999506223708	0.999995544780063	0.999995980241196	0.999996373205967	0.999996727814196	0.999997047803242	0.999997336547036	0.999997597091341	0.999997832185597	0.999998044311689	0.999998235709921	0.999998408402484	0.999998564214644	0.99999870479388	0.999998831627164	0.999998946056569	0.99999904929336	0.999999142430715	0.999999226455223	0.999999302257248	0.999999370640305	0.999999432329509	0.999999487979216	0.999999538179915	0.999999583464445	0.999999624313623	0.999999661161306	0.999999694398976	0.999999724379868	0.999999751422701	0.999999775815049	0.999999797816375	0.999999817660777	0.999999835559465	0.999999851702992	0.999999866263275	0.999999879395412	0.999999891239328	0.999999901921253	0.999999911555067	0.999999920243499	0.999999928079223	0.999999935145839	0.999999941518761	0.999999947266015	0.999999952448965	0.999999957122963	0.999999961337937	0.999999965138925	0.999999968566547	0.999999971657443	0.999999974444664	0.999999976958016	0.999999979224384	0.999999981268019	0.999999983110789	0.999999984772419	0.999999986270701	0.999999987621678	0.99999998883982	0.999999989938177	0.999999990928518	0.999999991821457	0.999999992626565	0.999999993352476	0.999999994006973	0.999999994597076	0.999999995129116	0.999999995608802	0.999999996041281	0.999999996431195	0.999999996782731	0.999999997099663	0.999999997385395	0.999999997642997	0.999999997875235	0.999999998084605	0.999999998273358	0.999999998443521	0.999999998596926	0.999999998735221	0.999999998859893	0.999999998972283	0.999999999073601	0.999999999164936	0.999999999247272	0.999999999321494	0.999999999388402	0.999999999448716	0.999999999503086	0.999999999552096	0.999999999596275	0.999999999636099	0.999999999671997	0.999999999704356	0.999999999733524	0.999999999759816	0.999999999783515	0.999999999804877	0.999999999824132	0.999999999841488	0.999999999857132	0.999999999871233	0.999999999883943	0.999999999895399	0.999999999905725	0.999999999915032	0.99999999992342	0.999999999930981	0.999999999937796	0.999999999943938	0.999999999949474	0.999999999954464	0.999999999958961	0.999999999963014	0.999999999966667	0.999999999969959	0.999999999972927	0.999999999975601	0.999999999978011	0.999999999980183	0.999999999982141	0.999999999983906	0.999999999985496	0.999999999986929	0.999999999988221	0.999999999989385	0.999999999990434	0.999999999991379	0.999999999992231	0.999999999992999	0.999999999993691	0.999999999994315	0.999999999994877	0.999999999995383	0.99999999999584	0.999999999996251	0.999999999996621	0.999999999996956	0.999999999997257	0.999999999997528	0.999999999997772	0.999999999997993	0.999999999998191	0.99999999999837	0.999999999998531	0.999999999998676	0.999999999998807	0.999999999998925	0.999999999999032	0.999999999999127	0.999999999999214	0.999999999999291	0.999999999999362	0.999999999999425	0.999999999999482	0.999999999999533	0.999999999999579	0.999999999999621	0.999999999999658	0.999999999999692	0.999999999999723	0.99999999999975	0.999999999999775	0.999999999999797	0.999999999999817	0.999999999999835	0.999999999999852	0.999999999999866	0.999999999999879	0.999999999999891	0.999999999999902	0.999999999999912	0.999999999999921	0.999999999999929	0.999999999999936	0.999999999999942	0.999999999999948	0.999999999999953	0.999999999999958	0.999999999999962	0.999999999999966	0.999999999999969	0.999999999999972	0.999999999999975	0.999999999999977	0.99999999999998	0.999999999999982	0.999999999999983	0.999999999999985	0.999999999999986	0.999999999999988	0.999999999999989	0.99999999999999	0.999999999999991	0.999999999999992	0.999999999999993	0.999999999999994	0.999999999999994	0.999999999999995	0.999999999999995	0.999999999999996	0.999999999999996	0.999999999999996	0.999999999999997	0.999999999999997	0.999999999999997	0.999999999999998	0.999999999999998	0.999999999999998	0.999999999999998	0.999999999999998	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"4"	0.05	0.247351785169617	0.274692804780762	0.301512463365394	0.327748491128382	0.353354261831722	0.378295599923138	0.402548341386848	0.4260964346304	0.448930438248186	0.471046316857419	0.492444465034319	0.513128908666744	0.533106646274119	0.55238710213244	0.57098166969068	0.588903328611102	0.606166322356272	0.622785885944816	0.638778015554828	0.654159273240482	0.668946621265061	0.683157281529268	0.696808616349925	0.709918027467341	0.722502870663902	0.734580383787635	0.746167626312086	0.757281428842802	0.767938351212656	0.778154648002059	0.787946240483025	0.797328694123584	0.806317200905618	0.814926565808571	0.823171196896332	0.831065098517436	0.838621867191437	0.845854689808393	0.852776343815298	0.859399199103953	0.865735221350176	0.871795976585136	0.877592636806547	0.883135986461125	0.888436429650389	0.89350399793012	0.89834835858979	0.902978823312377	0.907404357127421	0.911633587581143	0.915674814057171	0.919536017189939	0.923224868320472	0.926748738950907	0.930114710160111	0.933329581947951	0.936399882480461	0.939331877212281	0.942131577866348	0.944804751254088	0.947356927922194	0.949793410614591	0.952119282540423	0.954339415440855	0.956458477449213	0.958480940740494	0.960411088967632	0.962253024483042	0.964010675345001	0.965687802109325	0.967288004407518	0.968814727313308	0.970271267499974	0.971660779191425	0.972986279910352	0.974250656027163	0.975456668113658	0.976606956105674	0.977704044279097	0.978750346043795	0.979748168560139	0.980699717182861	0.981607099737045	0.982472330631085	0.983297334811441	0.984083951564021	0.98483393816698	0.985548973399685	0.986230660912557	0.986880532462402	0.9875000510178	0.988090613739021	0.98865355483686	0.989190148314677	0.989701610597831	0.990189103054622	0.990653734412705	0.991096563074874	0.991518599337998	0.99192080751876	0.992304107989783	0.992669379129576	0.993017459189672	0.993349148082176	0.993665209090875	0.993966370508941	0.994253327206153	0.994526742128481	0.994787247732749	0.99503544735904	0.995271916543355	0.99549720427301	0.995711834187107	0.995916305724379	0.996111095220577	0.996296656957523	0.996473424165855	0.996641809983411	0.996802208371128	0.996954994988265	0.997100528028677	0.997239149019799	0.997371183585955	0.997496942177506	0.997616720767319	0.997730801515978	0.997839453407075	0.997942932853893	0.998041484278728	0.998135340666046	0.998224724090604	0.998309846221667	0.998390908804341	0.998468104119048	0.998541615420102	0.998611617354318	0.998678276360532	0.998741751050888	0.998802192574693	0.998859744965636	0.998914545473088	0.998966724878227	0.999016407795638	0.999063712961067	0.999108753505928	0.999151637219179	0.999192466797128	0.99923134008171	0.999268350287769	0.999303586219832	0.999337132478859	0.999369069659418	0.999399474537722	0.999428420250959	0.999455976468279	0.999482209553854	0.999507182722357	0.999530956187198	0.99955358730187	0.999575130694702	0.999595638397338	0.999615159967211	0.999633742604306	0.999651431262468	0.999668268755501	0.999684295858309	0.999699551403302	0.999714072372278	0.999727893984014	0.999741049777731	0.999753571692657	0.999765490143848	0.999776834094444	0.999787631124534	0.99979790749678	0.99980768821895	0.999816997103514	0.99982585682442	0.999834288971209	0.999842314100563	0.999849951785436	0.999857220661853	0.999864138473502	0.999870722114228	0.999876987668504	0.999882950449999	0.999888625038314	0.999894025313986	0.999899164491826	0.999904055152683	0.999908709273706	0.999913138257158	0.999917352957877	0.999921363709427	0.999925180349009	0.999928812241185	0.999932268300482	0.999935557012917	0.999938686456497	0.999941664320749	0.999944497925314	0.999947194237664	0.999949759889967	0.999952201195154	0.999954524162219	0.999956734510791	0.999958837685005	0.999960838866719	0.9999627429881	0.9999645547436	0.999966278601371	0.99996791881413	0.999969479429506	0.999970964299888	0.999972377091809	0.99997372129488	0.999975000230292	0.999976217058911	0.999977374788998	0.999978476283541	0.999979524267249	0.999980521333205	0.999981469949205	0.999982372463787	0.999983231111976	0.999984048020749	0.999984825214246	0.99998556461872	0.999986268067257	0.999986937304267	0.999987573989762	0.999988179703422	0.999988755948474	0.999989304155378	0.999989825685338	0.999990321833648	0.99999079383287	0.999991242855863	0.99999167001867	0.999992076383258	0.999992462960133	0.999992830710823	0.99999318055025	0.999993513348979	0.999993829935362	0.999994131097583	0.999994417585595	0.999994690112974	0.999994949358675	0.999995195968711	0.999995430557744	0.999995653710602	0.999995865983726	0.999996067906543	0.999996259982772	0.999996442691673	0.999996616489229	0.999996781809274	0.999996939064566	0.999997088647811	0.99999723093263	0.999997366274488	0.999997495011573	0.999997617465633	0.999997733942776	0.999997844734225	0.99999795011704	0.99999805035481	0.999998145698301	0.999998236386081	0.999998322645113	0.999998404691315	0.999998482730099	0.999998556956882	0.999998627557566	0.999998694709006	0.999998758579449	0.999998819328946	0.999998877109759	0.999998932066731	0.999998984337654	0.999999034053606	0.999999081339282	0.999999126313299	0.999999169088497	0.999999209772217	0.999999248466567	0.999999285268681	0.999999320270957	0.999999353561288	0.999999385223283	0.999999415336475	0.999999443976518	0.999999471215375	0.999999497121502	0.999999521760014	0.999999545192851	0.99999956747893	0.999999588674294	0.999999608832251	0.999999628003508	0.999999646236298	0.999999663576498	0.999999680067748	0.999999695751555	0.999999710667402	0.999999724852843	0.999999738343598	0.999999751173644	0.999999763375297	0.999999774979295	0.999999786014876	0.999999796509849	0.999999806490663	0.999999815982477	0.999999825009219	0.999999833593648	0.999999841757411	0.999999849521098	0.999999856904292	0.999999863925617	0.999999870602788	0.999999876952656	0.999999882991244	0.999999888733795	0.999999894194804	0.999999899388059	0.999999904326673	0.999999909023118	0.999999913489255	0.999999917736365	0.999999921775178	0.999999925615899	0.999999929268232	0.999999932741408	0.999999936044206	0.999999939184973	0.999999942171652	0.999999945011793	0.999999947712578	0.999999950280839	0.99999995272307	0.99999995504545	0.999999957253854	0.999999959353871	0.999999961350814	0.999999963249738	0.999999965055448	0.999999966772516	0.999999968405288	0.9999999699579	0.999999971434282	0.999999972838174	0.99999997417313	0.999999975442534	0.999999976649601	0.999999977797388	0.999999978888805	0.999999979926617	0.999999980913455	0.999999981851819	0.99999998274409	0.999999983592528	0.999999984399284	0.999999985166406	0.999999985895838	0.99999998658943	0.999999987248942	0.999999987876047	0.999999988472335	0.99999998903932	0.99999998957844	0.999999990091064	0.999999990578493	0.999999991041964	0.999999991482653	0.999999991901679	0.999999992300107	0.999999992678948	0.999999993039164	0.99999999338167	0.999999993707336	0.999999994016989	0.999999994311417	0.999999994591366	0.999999994857548	0.999999995110641	0.999999995351286	0.999999995580096	0.999999995797652	0.999999996004508	0.999999996201188	0.999999996388194	0.999999996566001	0.999999996735061	0.999999996895803	0.999999997048638	0.999999997193953	0.999999997332118	0.999999997463485	0.999999997588388	0.999999997707145	0.999999997820057	0.999999997927413	0.999999998029486	0.999999998126535	0.999999998218808	0.999999998306539	0.999999998389952	0.999999998469259	0.999999998544662	0.999999998616354	0.999999998684516	0.999999998749322	0.999999998810938	0.99999999886952	0.999999998925218	0.999999998978174	0.999999999028522	0.999999999076391	0.999999999121902	0.999999999165173	0.999999999206312	0.999999999245426	0.999999999282613	0.999999999317968	0.999999999351582	0.999999999383541	0.999999999413925	0.999999999442813	0.999999999470278	0.999999999496389	0.999999999521215	0.999999999544817	0.999999999567257	0.999999999588591	0.999999999608873	0.999999999628157	0.99999999964649	0.99999999966392	0.999999999680491	0.999999999696246	0.999999999711224	0.999999999725463	0.999999999739002	0.999999999751872	0.999999999764109	0.999999999775742	0.999999999786803	0.999999999797317	0.999999999807314	0.999999999816818	0.999999999825853	0.999999999834443	0.999999999842609	0.999999999850373	0.999999999857754	0.999999999864772	0.999999999871443	0.999999999877785	0.999999999883814	0.999999999889547	0.999999999894996	0.999999999900177	0.999999999905102	0.999999999909785	0.999999999914236	0.999999999918468	0.999999999922492	0.999999999926316	0.999999999929952	0.999999999933409	0.999999999936696	0.99999999993982	0.99999999994279	0.999999999945614	0.999999999948298	0.99999999995085	0.999999999953276	0.999999999955582	0.999999999957775	0.999999999959859	0.999999999961841	0.999999999963724	0.999999999965515	0.999999999967218	0.999999999968836	0.999999999970375	0.999999999971837	0.999999999973228	0.999999999974549	0.999999999975806	0.999999999977001	0.999999999978136	0.999999999979216	0.999999999980242	0.999999999981218	0.999999999982145	0.999999999983027	0.999999999983865	0.999999999984662
