"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"77" "Esubge" "Aacumi" 0 0 1 24 0.127340212208506 0.00865366270425834
"78" "Egemmc" "Aacumi" 0 0 1 9 0.127340212208506 0.00865366270425834
"79" "Eaurit" "Aacumi" 5 5 1 4 1 0
"80" "Ospset" "Aacumi" 0 0 1 91 0.127340212208506 0.00865366270425834
"81" "Emyrti" "Aacumi" 0 0 1 18 0.127340212208506 0.00865366270425834
"82" "Esmyrt" "Aacumi" 0 0 1 23 0.127340212208506 0.00865366270425834
"83" "Esmyrs" "Aacumi" 0 0 1 22 0.127340212208506 0.00865366270425834
"84" "Eciner" "Aacumi" 1 1 1 6 1 0
"85" "Eappen" "Aacumi" 1 1 1 2 1 0
"86" "Hpscho" "Aacumi" 0 0 1 45 0.127340212208506 0.00865366270425834
"87" "Hplicp" "Aacumi" 0 0 1 42 0.127340212208506 0.00865366270425834
"88" "Hscapr" "Aacumi" 0 0 1 47 0.127340212208506 0.00865366270425834
"89" "Hanoma" "Aacumi" 0 0 1 31 0.127340212208506 0.00865366270425834
"90" "Oaacut" "Aacumi" 0 0 1 55 0.127340212208506 0.00865366270425834
"91" "Hpurpu" "Aacumi" 0 0 1 46 0.127340212208506 0.00865366270425834
"92" "Opolar" "Aacumi" 0 0 1 83 0.127340212208506 0.00865366270425834
"93" "Opprox" "Aacumi" 0 0 1 84 0.127340212208506 0.00865366270425834
"94" "Hspecc" "Aacumi" 0 0 1 51 0.127340212208506 0.00865366270425834
"95" "Hsglau" "Aacumi" 0 0 1 49 0.127340212208506 0.00865366270425834
"96" "Hslana" "Aacumi" 0 0 1 50 0.127340212208506 0.00865366270425834
"97" "Oelaea" "Aalvea" 0 0 2 63 0.127340212208506 0.00865366270425834
"98" "Obridg" "Aalvea" 2 0 2 60 0.110180015734995 0.0066058951516096
"99" "Ovaria" "Aalvea" 1 1 2 93 1 0
"100" "Oobscu" "Aalvea" 0 0 2 81 0.127340212208506 0.00865366270425834
"101" "Okriec" "Aalvea" 1 0 2 71 0.118140224993117 0.00752694913859281
"102" "Onigri" "Aalvea" 1 0 2 78 0.118140224993117 0.00752694913859281
"103" "Ofoeti" "Aalvea" 0 0 2 64 0.127340212208506 0.00865366270425834
"104" "Ohasta" "Aalvea" 0 0 2 68 0.127340212208506 0.00865366270425834
"105" "Oadaph" "Aalvea" 0 0 2 56 0.127340212208506 0.00865366270425834
"106" "Ohelve" "Aalvea" 0 0 2 69 0.127340212208506 0.00865366270425834
"107" "Onival" "Aalvea" 0 0 2 79 0.127340212208506 0.00865366270425834
"108" "Ovimin" "Aalvea" 2 2 2 95 1 0
"109" "Oproxi" "Aalvea" 1 0 2 85 0.118140224993117 0.00752694913859281
"110" "Ocolla" "Aalvea" 0 0 2 61 0.127340212208506 0.00865366270425834
"111" "Osamol" "Aalvea" 0 0 2 89 0.127340212208506 0.00865366270425834
"112" "Omyrsi" "Aalvea" 0 0 2 76 0.127340212208506 0.00865366270425834
"113" "Oarcti" "Aalvea" 0 0 2 57 0.127340212208506 0.00865366270425834
"114" "Eboreo" "Aalvea" 0 0 2 5 0.127340212208506 0.00865366270425834
"115" "Oglauc" "Aalvea" 0 0 2 67 0.127340212208506 0.00865366270425834
"116" "Elappo" "Aalvea" 0 0 2 15 0.127340212208506 0.00865366270425834
"117" "Elappc" "Aalvea" 0 0 2 14 0.127340212208506 0.00865366270425834
"118" "Olappo" "Aalvea" 0 0 2 73 0.127340212208506 0.00865366270425834
"119" "Olappl" "Aalvea" 0 0 2 72 0.127340212208506 0.00865366270425834
"120" "Emyrsi" "Aalvea" 0 0 2 17 0.127340212208506 0.00865366270425834
