,Aacumi,Aalvea,Acubic,Adelog,Agalli,Aminim,Amorri,Anigro,Apante,Aprost,Apusil,Atroch,Atymbe,Axanth,Bbrevi,Bconju,Bdisco,Bepitr,Bimmut,Binter,Bkopel,Blivid,Bobscu,Bpicti,Bpulch,Bracin,Bracsp,Broman,Campop,Ccruxx,Cdorsa,Celong,Cflavi,Cgraci,Chalci,Cincer,Claevi,Cnrsub,Coreop,Croman,Csalic,Ctenoc,Ctrifa,Cvarie,Cvitta,Dcoleo,Dlongi,Dstram,Dwestw,Eacicu,Ealbit,Eanali,Ecalca,Eclytu,Efront,Eheyer,Enobbe,Epygma,Eridol,Esalic,Espone,Etaige,Etorym,Etoxon,Eurozo,Euryto,Geliss,Gornat,Hruber,Ialter,Ibrevi,Ichnin,Ichnsp,Ilappo,Ireuni,Lalpic,Lalpio,Lalpiu,Latole,Lflexi,Lforti,Llappo,Llugen,Lpunct,Lsubco,Mesole,Mlongi,Mspone,Mvesic,Mymari,Olesic,Pclavi,Pcynip,Pdolic,Peuura,Pnemat,Polybl,Ppecti,Pponta,Ppumil,Psauli,Psoemi,Pterom,Rbrach,Salcal,Salpin,Saotis,Sborea,Sgranu,Slappo,Smorle,Snigri,Spygid,Srenov,Ssubar,Strico,Svesic,Tetras,Themip,Torymu,Tspfiv,Tspfou,Tspone,Tspsix,Tspthr,Tsptwo
Hplicd,-2,0,1,5,0,-1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,9,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,-1,0,0,-1,0,0,-6,0,0,0,0,0,-2,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,0,-1,0,0,1,-6,0,0,0,0,0,0,0,0,0
Hplicg,0,0,-1,3,2,0,0,0,0,0,6,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,0,-4,0,0,0,24,0,0,4,0,-1,0,1,1,0,-1,0,0,0,0,0,0,0,-2,0,0,0,1,1,0,-2,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,8,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-8,-6,0,0,0,-3,0,0,0,0,1,0,0,0,-1,0,-2,1,-2,0,-1,-2,1,1,0,0,0,0,0,0,0,0,0
Hplicl,0,0,0,-1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,-1,1,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
Hplicp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,2,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hpolit,-2,0,0,8,0,-2,0,0,0,0,6,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,-1,3,0,0,0,-6,0,15,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-5,-1,0,0,0,0,0,-1,0,0,-2,-1,0,-6,0,0,0,0,0,-2,0,6,6,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Hpruss,0,0,0,7,0,-1,0,0,0,0,8,0,0,0,0,0,0,0,-2,0,-1,0,0,0,0,1,0,0,0,-8,0,23,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,-2,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,-1,-7,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hpscho,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
Hpurpu,0,0,0,1,0,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-4,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,-5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0
Hscapr,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0
Hsglab,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsglau,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Hslana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspecc,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspira,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,-1,0,13,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0,-2,-3,0,0,0,0,0,0,0,0,0
Hspirh,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,0,0,3,0,0,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0
Htuber,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,3,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-2,0,0,0,0,0,0,0,0,0
Oaacut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oadaph,-3,0,0,-1,0,2,0,1,0,0,-1,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,10,0,-5,0,0,19,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,18,0,0,0,0,0,0,-1,0,0,-3,0,0,9,1,0,0,0,0,7,0,0,1,0,2,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,2,6,-2,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,7,0,0,0,0,0,0,0,0,0
Oarcti,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,-1,-8,0,0,15,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,3,0,-1,0,0,7,0,0,0,0,0,4,0,0,-5,0,4,0,0,0,0,-1,2,-2,0,0,-1,0,0,0,0,0,0,-1,0,-1,5,-1,0,0,0,5,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Obella,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,-1,0,1,0,2,0,1,-1,-2,0,0,5,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,-2,0,0,-1,0,0,2,0,-1,0,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,0,2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,0
Obrevi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,0,8,0,-1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,2,-5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,-1,0,0,0,0,0,0,0
Obridg,-1,-2,0,-6,0,2,-1,0,0,0,-3,0,0,0,1,0,2,0,0,1,1,0,0,-1,0,1,0,2,0,17,0,-8,0,1,27,1,1,0,0,0,0,0,0,0,-1,-1,0,-1,0,-15,1,0,0,0,0,0,0,0,0,0,0,0,1,14,-2,0,0,0,9,0,0,3,1,1,0,0,-1,0,1,0,-1,0,8,0,0,0,0,0,-1,0,2,-1,-1,21,-2,3,0,0,1,0,1,-1,-1,0,0,0,0,0,0,5,0,0,-1,0,0,-1,16,0,-1,0,1,0,-1,0,0,0
Ocolla,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,6,0,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,-1,0,0,-1,0,0,5,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Odolic,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,6,0,0,9,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,-5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,-1,-2,-1,-1,0,0,0,0,0,0,0,0,-2,0,0,3,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Oelaea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-3,0,0,0,0,0,0,0,1,0,0,0,0,-3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Ofoeti,-1,0,0,-3,0,0,0,1,0,0,-2,0,0,0,0,0,1,-1,0,1,1,0,-2,-1,0,4,0,9,0,1,0,-4,-2,0,17,0,1,-1,0,-1,0,0,0,0,-1,0,0,0,1,6,0,0,0,0,0,0,-1,0,0,0,0,0,5,0,0,0,0,0,12,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,3,14,-8,0,0,-1,4,0,0,0,0,0,0,-1,0,0,0,2,0,0,1,0,0,-2,16,0,0,0,0,0,-1,0,0,0
Ogalla,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,-2,0,0,0,2,0,1,0,1,1,7,0,-2,0,0,10,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,-2,-1,0,0,0,0,3,2,-1,0,0,0,3,0,0,-2,0,2,0,0,0,-1,0,0,-2,0,-2,0,0,0,0,0,-1,0,-1,0,1,6,-1,-2,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,4,0,0,0,0,-1,0,0,-1,-1
Oglabr,0,0,-4,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,6,0,0,0,-3,0,0,11,0,-3,0,0,0,0,0,0,0,-1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,-1,0,0,3,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Oglauc,0,0,-5,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6,0,0,0,2,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-2,-1,0,0,0,-2,0,0,0,0,0,-2,0,0,1,0,-4,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Ohasta,0,0,-2,-2,-1,0,0,1,0,0,-2,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,11,0,-2,0,2,0,0,24,-1,-3,0,0,0,0,0,-1,0,1,0,0,0,0,15,0,0,0,0,0,0,-2,1,0,0,0,0,12,-1,0,0,0,0,10,0,0,2,-1,-4,0,0,0,0,-2,1,-1,0,-2,0,0,0,0,0,0,1,0,0,1,10,-9,0,0,0,3,0,0,-1,-1,0,-1,0,0,0,2,1,-2,0,1,0,0,0,13,0,-1,0,0,0,0,0,0,0
Ohelve,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Oherba,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-2,0,12,0,0,0,-1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Okriec,-4,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,0,1,0,0,1,-1,1,0,0,0,1,1,5,0,2,0,8,0,-4,0,0,12,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,13,0,0,0,0,0,0,-1,0,0,-4,0,0,14,-1,0,0,0,0,4,-1,-1,1,0,2,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,2,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-2,4,0,0,-1,1,0,0,0,1,1
Olappl,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-2,0,6,0,0,0,7,0,0,12,0,4,0,1,1,0,0,0,0,-1,0,0,0,0,4,0,0,0,0,0,0,-1,-3,0,0,0,0,-8,0,0,0,0,0,-2,0,0,2,0,-6,0,0,0,0,0,-5,-2,-3,0,0,0,0,0,0,0,0,-2,0,0,8,-3,0,0,0,6,0,0,0,0,0,0,0,0,0,-1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Olappo,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,8,0,-1,0,2,0,0,15,0,-4,0,-1,-1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,-5,-2,-2,0,0,0,0,0,0,0,0,-1,0,0,12,-2,0,0,0,9,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Omacul,-1,0,0,-1,-1,0,0,-3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,-1,0,-2,-1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,1,0,-1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-1,0,0,0,4,-2,0,0,0,1,0,0,-1,1,0,-1,0,0,0,0,2,-1,0,-1,0,0,0,5,0,-1,0,0,0,0,0,0,0
Omonti,0,0,0,-2,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-2,-1,0,0,-1,0,1,0,3,0,0,0,-1,-1,0,6,0,-3,-1,0,-1,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-2,0,0,-1,-4,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,-1,3,0,0,0,0,0,-1,0,0,0
Omyrsi,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-3,0,4,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
Omyrti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0,0,0,0,0,-2,0,0,-1,0,0,4,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0
Onigri,0,-1,0,-1,0,0,0,1,0,0,-2,0,0,0,0,0,-1,0,0,1,0,0,0,-1,0,2,0,4,0,2,0,3,-1,0,15,0,4,1,0,-1,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,0,-1,1,0,0,0,0,-10,0,0,0,0,0,8,0,0,1,0,-3,0,0,-1,0,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,0,-4,14,-3,0,0,-1,2,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,-1,15,0,0,0,0,0,-1,0,0,0
Onival,0,0,2,-3,-1,0,0,-2,0,0,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,0,0,0,-14,0,0,32,0,-6,0,0,-1,0,0,-1,0,-1,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,5,0,0,4,0,5,0,0,0,0,-1,3,-1,-1,-1,0,0,1,0,0,0,0,-1,0,0,4,-7,0,0,0,9,0,0,-1,-1,0,-1,0,0,0,2,2,-1,0,-1,0,0,0,10,0,0,0,0,0,0,0,0,0
Onorve,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Oobscu,-1,0,0,-4,0,0,0,1,0,0,-2,0,0,0,0,0,-1,1,-1,-2,2,0,-2,-1,0,7,0,7,0,-3,0,-4,2,0,22,-1,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-12,0,0,0,0,0,0,-2,0,0,-1,0,0,1,0,0,0,0,0,6,0,0,4,0,0,0,0,-1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,-3,9,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,-3,0,0,-2,10,0,0,0,0,0,1,0,0,0
Opedun,0,-1,0,0,0,6,-1,0,0,0,-1,0,0,0,-1,0,-2,0,0,-2,0,0,0,-1,0,2,0,-1,0,15,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,-2,0,0,0,0,0,-1,0,0,-1,0,0,-4,8,-1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,-1,0,0,-1,0,7,0,-2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,-1,0,-1,0,0
Opolar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opprox,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Oproxi,0,-1,0,0,0,2,-1,0,1,0,-1,0,0,0,6,2,11,0,2,-1,1,0,0,-2,0,7,0,1,0,36,0,-6,0,0,30,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,3,4,-1,0,0,0,0,-1,0,0,-1,0,0,-9,16,3,0,0,0,0,0,-1,1,0,-2,0,0,0,0,0,0,0,0,26,0,0,0,0,0,-1,0,0,1,-1,24,0,14,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,29,0,0,0,-1,0,0,0,0,0
Opustu,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Oretic,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,2,0,0,0,0,-4,0,11,0,0,0,-1,0,0,8,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,-2,-1,0,0,0,0,-3,0,0,0,0,0,1,0,0,1,0,-1,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,4,-2,0,0,0,5,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,0,-5,0,0,0,0,0,-1,0,0,0
