,Aacumi,Aalvea,Acubic,Adelog,Agalli,Aminim,Amorri,Anigro,Apante,Aprost,Apusil,Atroch,Atymbe,Axanth,Bbrevi,Bconju,Bdisco,Bepitr,Bimmut,Binter,Bkopel,Blivid,Bobscu,Bpicti,Bpulch,Bracin,Bracsp,Broman,Campop,Ccruxx,Cdorsa,Celong,Cflavi,Cgraci,Chalci,Cincer,Claevi,Cnrsub,Coreop,Croman,Csalic,Ctenoc,Ctrifa,Cvarie,Cvitta,Dcoleo,Dlongi,Dstram,Dwestw,Eacicu,Ealbit,Eanali,Ecalca,Eclytu,Efront,Eheyer,Enobbe,Epygma,Eridol,Esalic,Espone,Etaige,Etorym,Etoxon,Eurozo,Euryto,Geliss,Gornat,Hruber,Ialter,Ibrevi,Ichnin,Ichnsp,Ilappo,Ireuni,Lalpic,Lalpio,Lalpiu,Latole,Lflexi,Lforti,Llappo,Llugen,Lpunct,Lsubco,Mesole,Mlongi,Mspone,Mvesic,Mymari,Olesic,Pclavi,Pcynip,Pdolic,Peuura,Pnemat,Polybl,Ppecti,Pponta,Ppumil,Psauli,Psoemi,Pterom,Rbrach,Salcal,Salpin,Saotis,Sborea,Sgranu,Slappo,Smorle,Snigri,Spygid,Srenov,Ssubar,Strico,Svesic,Tetras,Themip,Torymu,Tspfiv,Tspfou,Tspone,Tspsix,Tspthr,Tsptwo
Egemmh,1,0,0,-2,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,2,0,0,0,-11,0,0,13,0,-1,0,0,0,0,0,-2,0,0,0,0,0,0,-4,0,0,0,0,0,0,1,0,0,0,0,0,-3,0,-1,0,1,0,-2,0,0,-3,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,-1,-11,0,0,0,0,0,0,0,0,0
Ehasta,-1,0,-3,-3,-2,0,0,0,0,0,-6,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-5,0,-14,0,-1,0,-16,0,0,26,-1,-5,-1,0,-1,0,0,-1,0,0,0,0,0,-1,-11,0,0,0,0,0,0,3,0,0,0,0,-1,-15,0,0,0,-1,0,-4,0,0,3,0,-2,0,0,0,0,-1,-1,1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-6,-2,0,-1,0,-1,-5,-17,0,0,0,0,0,0,0,0,0
Elanat,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-4,0,-1,0,-1,0,0,11,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-1,0,0,0,0,0,1,0,0,-5,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-4,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
Elappc,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-2,0,4,0,-1,0,-4,0,0,14,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-7,0,0,0,0,0,0,1,-1,0,0,0,0,-6,0,0,0,0,0,-2,0,0,3,0,-2,0,0,0,0,0,-2,1,3,0,0,0,0,0,0,0,0,2,0,0,3,-2,0,0,0,-7,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Elappo,0,0,-11,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,-15,0,-1,0,-9,0,0,26,0,-7,0,0,0,0,0,0,0,-1,0,0,0,0,-13,0,0,0,0,0,0,2,-1,0,1,0,0,-12,0,0,0,0,0,-2,0,0,2,0,-6,0,0,0,0,0,-6,1,-2,0,0,0,0,0,0,0,0,-1,0,-1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,-7,0,-1,0,0,0,0,-7,0,0,0,0,0,0,0,0,0
Emucro,2,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,2,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,11,0,0,2,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
Emyrsi,-1,0,-1,-1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,-4,0,0,0,-7,0,0,11,1,-3,-1,0,-1,0,0,0,0,0,0,0,0,-1,-8,0,0,0,0,0,0,2,0,0,1,0,0,-6,0,0,0,0,0,-4,0,0,2,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,4,0,0,0,-4,0,0,0,0,0,0,0,0,0,-1,-2,0,0,-1,0,0,-4,-7,0,0,0,0,0,0,0,0,0
Emyrti,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-3,0,0,6,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,-3,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0
Enigri,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,1,0,0,0,0,-1,0,1,0,-2,0,1,0,-1,0,0,3,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-1,0,0,2,0,0,-2,0,0,0,0,0,-2,-1,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0
Ephyli,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,-1,0,-3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-3,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Epurpu,8,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,0,-3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,5,0,0,8,0,0,-3,0,0,0,0,0,-1,0,-1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,2,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0
Esmyrs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esmyrt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Esubge,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etesta,3,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,-1,0,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Evenus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,-2,0,-2,0,2,0,-1,0,0,5,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,-1,0,1,0,0,-2,0,0,0,0,0,-2,-1,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-2,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-5,0,0,0,-1,0,0,0,0,0
Eweiff,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-1,0,-1,0,-1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,4,0,1,11,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,3,0,0,0,0,0,0
Hacuti,0,0,-2,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,-2,0,0,0,7,0,0,1,0,-2,0,0,0,0,-1,0,0,0,0,0,0,0,-3,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-3,-2,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-2,0,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
