,Tory,Eulo,Lestodip,Mesopol,Platy,Eury,Lathro,Mymarid
aSG,5,0,0,0,0,0,0,0
rG,33,8,5,1,5,0,0,0
rsLG,0,0,0,0,0,9,2,0
SG,0,0,0,0,9,0,0,0
vLG,34,17,0,50,80,0,0,1
