,Salix,Rgaller,cooccur,interact
177,pentandra,Oobscu,1,0
178,breviserrata,Oobscu,4,0
179,reticulata,Oobscu,4,0
180,retusa,Oobscu,5,0
181,aurita,Oobscu,0,0
182,triandra,Oobscu,0,0
183,lanata,Oobscu,0,0
184,herbacea,Oobscu,0,0
185,borealis,Oobscu,0,0
186,myrtilloides,Oobscu,0,0
187,viminalis,Oobscu,0,0
188,glabra,Oobscu,0,0
189,apennina,Oobscu,0,0
190,rubens,Oobscu,0,0
191,rosmarinifolia,Oobscu,0,0
192,caprea x appendiculata,Oobscu,0,0
193,cinerea oleifolia,Oobscu,0,0
194,viminalis x caprea,Oobscu,0,0
195,viminalis x ?,Oobscu,0,0
196,alpina?,Oobscu,1,1
197,phylicifolia x caprea ?,Oobscu,0,0
198,lapponum x glauca?,Oobscu,0,0
199,lapponum x glauca,Oobscu,0,0
200,aurita x caprea,Oobscu,0,0
201,starkeana,Oobscu,0,0
202,hastata x phylicifolia,Oobscu,0,0
203,lapponum x phylicifolia,Oobscu,0,0
204,acutifolia,Oobscu,0,0
205,bicolor,Oobscu,0,0
206,polaris,Oobscu,0,0
207,cinerea x myrsinifolia,Oobscu,0,0
208,fragilis x pentandra,Oobscu,0,0
209,elaeagnos,Okriec,17,17
210,appendiculata,Okriec,2,0
211,myrsinifolia,Okriec,5,0
212,foetida,Okriec,1,0
213,hastata,Okriec,0,0
214,daphnoides,Okriec,5,0
215,helvetica,Okriec,0,0
216,glaucosericea,Okriec,0,0
217,cinerea,Okriec,0,0
218,purpurea,Okriec,8,0
219,alba,Okriec,0,0
220,fragilis,Okriec,0,0
221,repens,Okriec,0,0
222,lapponum,Okriec,0,0
223,myrsinites,Okriec,0,0
224,phylicifolia,Okriec,0,0
225,glauca,Okriec,0,0
226,caprea,Okriec,3,0
227,mielichhoferi,Okriec,0,0
228,waldsteiniana,Okriec,0,0
229,pentandra,Okriec,0,0
230,breviserrata,Okriec,0,0
231,reticulata,Okriec,0,0
232,retusa,Okriec,0,0
233,aurita,Okriec,0,0
234,triandra,Okriec,0,0
235,lanata,Okriec,0,0
236,herbacea,Okriec,0,0
237,borealis,Okriec,0,0
238,myrtilloides,Okriec,0,0
239,viminalis,Okriec,0,0
240,glabra,Okriec,0,0
241,apennina,Okriec,0,0
242,rubens,Okriec,0,0
243,rosmarinifolia,Okriec,0,0
244,caprea x appendiculata,Okriec,1,0
245,cinerea oleifolia,Okriec,0,0
246,viminalis x caprea,Okriec,0,0
247,viminalis x ?,Okriec,0,0
248,alpina?,Okriec,0,0
249,phylicifolia x caprea ?,Okriec,0,0
250,lapponum x glauca?,Okriec,0,0
251,lapponum x glauca,Okriec,0,0
252,aurita x caprea,Okriec,0,0
253,starkeana,Okriec,0,0
254,hastata x phylicifolia,Okriec,0,0
255,lapponum x phylicifolia,Okriec,0,0
256,acutifolia,Okriec,0,0
257,bicolor,Okriec,0,0
258,polaris,Okriec,0,0
259,cinerea x myrsinifolia,Okriec,0,0
260,fragilis x pentandra,Okriec,0,0
261,elaeagnos,Onigri,1,0
262,appendiculata,Onigri,3,0
263,myrsinifolia,Onigri,15,15
264,foetida,Onigri,4,0
265,hastata,Onigri,7,0
266,daphnoides,Onigri,2,0
267,helvetica,Onigri,1,0
268,glaucosericea,Onigri,1,0
269,cinerea,Onigri,0,0
270,purpurea,Onigri,2,0
271,alba,Onigri,0,0
272,fragilis,Onigri,0,0
273,repens,Onigri,0,0
274,lapponum,Onigri,0,0
275,myrsinites,Onigri,0,0
276,phylicifolia,Onigri,1,0
277,glauca,Onigri,2,0
278,caprea,Onigri,2,0
279,mielichhoferi,Onigri,7,7
280,waldsteiniana,Onigri,4,0
281,pentandra,Onigri,0,0
282,breviserrata,Onigri,0,0
283,reticulata,Onigri,1,0
284,retusa,Onigri,2,0
285,aurita,Onigri,0,0
286,triandra,Onigri,0,0
287,lanata,Onigri,1,0
288,herbacea,Onigri,0,0
289,borealis,Onigri,0,0
290,myrtilloides,Onigri,0,0
291,viminalis,Onigri,0,0
292,glabra,Onigri,0,0
293,apennina,Onigri,0,0
294,rubens,Onigri,0,0
295,rosmarinifolia,Onigri,0,0
296,caprea x appendiculata,Onigri,0,0
297,cinerea oleifolia,Onigri,0,0
298,viminalis x caprea,Onigri,0,0
299,viminalis x ?,Onigri,0,0
300,alpina?,Onigri,0,0
301,phylicifolia x caprea ?,Onigri,0,0
302,lapponum x glauca?,Onigri,0,0
303,lapponum x glauca,Onigri,0,0
304,aurita x caprea,Onigri,0,0
305,starkeana,Onigri,0,0
306,hastata x phylicifolia,Onigri,0,0
307,lapponum x phylicifolia,Onigri,0,0
308,acutifolia,Onigri,0,0
309,bicolor,Onigri,1,1
310,polaris,Onigri,0,0
311,cinerea x myrsinifolia,Onigri,0,0
312,fragilis x pentandra,Onigri,0,0
313,elaeagnos,Ofoeti,2,0
314,appendiculata,Ofoeti,6,0
315,myrsinifolia,Ofoeti,8,0
316,foetida,Ofoeti,16,16
317,hastata,Ofoeti,8,0
318,daphnoides,Ofoeti,1,0
319,helvetica,Ofoeti,3,0
320,glaucosericea,Ofoeti,0,0
321,cinerea,Ofoeti,0,0
322,purpurea,Ofoeti,4,0
323,alba,Ofoeti,0,0
324,fragilis,Ofoeti,0,0
325,repens,Ofoeti,0,0
326,lapponum,Ofoeti,0,0
327,myrsinites,Ofoeti,0,0
328,phylicifolia,Ofoeti,0,0
329,glauca,Ofoeti,0,0
330,caprea,Ofoeti,0,0
331,mielichhoferi,Ofoeti,5,0
332,waldsteiniana,Ofoeti,7,7
333,pentandra,Ofoeti,1,0
334,breviserrata,Ofoeti,4,0
335,reticulata,Ofoeti,2,0
336,retusa,Ofoeti,4,0
337,aurita,Ofoeti,0,0
338,triandra,Ofoeti,0,0
339,lanata,Ofoeti,0,0
340,herbacea,Ofoeti,0,0
341,borealis,Ofoeti,0,0
342,myrtilloides,Ofoeti,0,0
343,viminalis,Ofoeti,0,0
344,glabra,Ofoeti,0,0
345,apennina,Ofoeti,0,0
346,rubens,Ofoeti,0,0
347,rosmarinifolia,Ofoeti,0,0
348,caprea x appendiculata,Ofoeti,0,0
349,cinerea oleifolia,Ofoeti,0,0
350,viminalis x caprea,Ofoeti,0,0
351,viminalis x ?,Ofoeti,0,0
352,alpina?,Ofoeti,0,0
353,phylicifolia x caprea ?,Ofoeti,0,0
354,lapponum x glauca?,Ofoeti,0,0
355,lapponum x glauca,Ofoeti,0,0
356,aurita x caprea,Ofoeti,0,0
357,starkeana,Ofoeti,0,0
358,hastata x phylicifolia,Ofoeti,0,0
359,lapponum x phylicifolia,Ofoeti,0,0
360,acutifolia,Ofoeti,0,0
361,bicolor,Ofoeti,0,0
362,polaris,Ofoeti,0,0
363,cinerea x myrsinifolia,Ofoeti,0,0
364,fragilis x pentandra,Ofoeti,0,0
365,elaeagnos,Ohasta,0,0
366,appendiculata,Ohasta,3,0
367,myrsinifolia,Ohasta,10,0
368,foetida,Ohasta,6,0
369,hastata,Ohasta,38,38
370,daphnoides,Ohasta,4,0
371,helvetica,Ohasta,13,0
372,glaucosericea,Ohasta,11,0
373,cinerea,Ohasta,0,0
374,purpurea,Ohasta,5,0
375,alba,Ohasta,0,0
376,fragilis,Ohasta,0,0
377,repens,Ohasta,0,0
378,lapponum,Ohasta,5,0
379,myrsinites,Ohasta,2,0
380,phylicifolia,Ohasta,4,0
381,glauca,Ohasta,10,0
382,caprea,Ohasta,3,0
383,mielichhoferi,Ohasta,0,0
384,waldsteiniana,Ohasta,0,0
385,pentandra,Ohasta,1,0
386,breviserrata,Ohasta,4,0
387,reticulata,Ohasta,4,0
388,retusa,Ohasta,2,0
389,aurita,Ohasta,0,0
390,triandra,Ohasta,0,0
391,lanata,Ohasta,7,0
392,herbacea,Ohasta,0,0
393,borealis,Ohasta,1,0
394,myrtilloides,Ohasta,1,0
395,viminalis,Ohasta,0,0
396,glabra,Ohasta,0,0
397,apennina,Ohasta,0,0
398,rubens,Ohasta,0,0
399,rosmarinifolia,Ohasta,0,0
400,caprea x appendiculata,Ohasta,0,0
401,cinerea oleifolia,Ohasta,0,0
402,viminalis x caprea,Ohasta,0,0
403,viminalis x ?,Ohasta,0,0
404,alpina?,Ohasta,0,0
405,phylicifolia x caprea ?,Ohasta,0,0
406,lapponum x glauca?,Ohasta,0,0
407,lapponum x glauca,Ohasta,0,0
408,aurita x caprea,Ohasta,0,0
409,starkeana,Ohasta,1,0
410,hastata x phylicifolia,Ohasta,1,1
411,lapponum x phylicifolia,Ohasta,1,0
412,acutifolia,Ohasta,0,0
413,bicolor,Ohasta,0,0
414,polaris,Ohasta,0,0
415,cinerea x myrsinifolia,Ohasta,0,0
416,fragilis x pentandra,Ohasta,0,0
417,elaeagnos,Oadaph,4,0
418,appendiculata,Oadaph,1,0
419,myrsinifolia,Oadaph,5,0
420,foetida,Oadaph,0,0
421,hastata,Oadaph,5,0
422,daphnoides,Oadaph,25,25
423,helvetica,Oadaph,1,0
424,glaucosericea,Oadaph,1,0
425,cinerea,Oadaph,2,0
426,purpurea,Oadaph,8,0
427,alba,Oadaph,0,0
428,fragilis,Oadaph,1,0
429,repens,Oadaph,1,0
430,lapponum,Oadaph,0,0
431,myrsinites,Oadaph,0,0
432,phylicifolia,Oadaph,0,0
433,glauca,Oadaph,0,0
434,caprea,Oadaph,1,0
435,mielichhoferi,Oadaph,1,0
436,waldsteiniana,Oadaph,1,0
437,pentandra,Oadaph,0,0
438,breviserrata,Oadaph,0,0
439,reticulata,Oadaph,0,0
440,retusa,Oadaph,0,0
441,aurita,Oadaph,0,0
442,triandra,Oadaph,1,0
443,lanata,Oadaph,0,0
444,herbacea,Oadaph,0,0
445,borealis,Oadaph,0,0
446,myrtilloides,Oadaph,0,0
447,viminalis,Oadaph,0,0
448,glabra,Oadaph,0,0
449,apennina,Oadaph,0,0
450,rubens,Oadaph,0,0
451,rosmarinifolia,Oadaph,0,0
452,caprea x appendiculata,Oadaph,0,0
453,cinerea oleifolia,Oadaph,0,0
454,viminalis x caprea,Oadaph,0,0
455,viminalis x ?,Oadaph,0,0
456,alpina?,Oadaph,0,0
457,phylicifolia x caprea ?,Oadaph,0,0
458,lapponum x glauca?,Oadaph,0,0
459,lapponum x glauca,Oadaph,0,0
460,aurita x caprea,Oadaph,0,0
461,starkeana,Oadaph,0,0
462,hastata x phylicifolia,Oadaph,0,0
463,lapponum x phylicifolia,Oadaph,0,0
464,acutifolia,Oadaph,0,0
465,bicolor,Oadaph,0,0
466,polaris,Oadaph,0,0
467,cinerea x myrsinifolia,Oadaph,0,0
468,fragilis x pentandra,Oadaph,0,0
469,elaeagnos,Ohelve,0,0
470,appendiculata,Ohelve,1,0
471,myrsinifolia,Ohelve,1,0
472,foetida,Ohelve,0,0
473,hastata,Ohelve,5,0
474,daphnoides,Ohelve,1,0
475,helvetica,Ohelve,7,7
476,glaucosericea,Ohelve,5,0
477,cinerea,Ohelve,0,0
478,purpurea,Ohelve,1,0
479,alba,Ohelve,0,0
480,fragilis,Ohelve,0,0
481,repens,Ohelve,0,0
482,lapponum,Ohelve,0,0
483,myrsinites,Ohelve,0,0
484,phylicifolia,Ohelve,0,0
485,glauca,Ohelve,0,0
486,caprea,Ohelve,0,0
487,mielichhoferi,Ohelve,0,0
488,waldsteiniana,Ohelve,0,0
