,Salix,Rgaller,cooccur,interact
772,aurita x caprea,Osamol,0,0
773,starkeana,Osamol,1,0
774,hastata x phylicifolia,Osamol,1,0
775,lapponum x phylicifolia,Osamol,1,1
776,acutifolia,Osamol,0,0
777,bicolor,Osamol,0,0
778,polaris,Osamol,0,0
779,cinerea x myrsinifolia,Osamol,0,0
780,fragilis x pentandra,Osamol,0,0
781,elaeagnos,Omyrsi,0,0
782,appendiculata,Omyrsi,0,0
783,myrsinifolia,Omyrsi,1,0
784,foetida,Omyrsi,0,0
785,hastata,Omyrsi,1,0
786,daphnoides,Omyrsi,0,0
787,helvetica,Omyrsi,0,0
788,glaucosericea,Omyrsi,0,0
789,cinerea,Omyrsi,0,0
790,purpurea,Omyrsi,0,0
791,alba,Omyrsi,0,0
792,fragilis,Omyrsi,0,0
793,repens,Omyrsi,0,0
794,lapponum,Omyrsi,3,0
795,myrsinites,Omyrsi,11,11
796,phylicifolia,Omyrsi,2,0
797,glauca,Omyrsi,5,0
798,caprea,Omyrsi,0,0
799,mielichhoferi,Omyrsi,0,0
800,waldsteiniana,Omyrsi,0,0
801,pentandra,Omyrsi,0,0
802,breviserrata,Omyrsi,0,0
803,reticulata,Omyrsi,2,0
804,retusa,Omyrsi,0,0
805,aurita,Omyrsi,0,0
806,triandra,Omyrsi,0,0
807,lanata,Omyrsi,1,0
808,herbacea,Omyrsi,1,0
809,borealis,Omyrsi,0,0
810,myrtilloides,Omyrsi,0,0
811,viminalis,Omyrsi,0,0
812,glabra,Omyrsi,0,0
813,apennina,Omyrsi,0,0
814,rubens,Omyrsi,0,0
815,rosmarinifolia,Omyrsi,0,0
816,caprea x appendiculata,Omyrsi,0,0
817,cinerea oleifolia,Omyrsi,0,0
818,viminalis x caprea,Omyrsi,0,0
819,viminalis x ?,Omyrsi,0,0
820,alpina?,Omyrsi,0,0
821,phylicifolia x caprea ?,Omyrsi,0,0
822,lapponum x glauca?,Omyrsi,0,0
823,lapponum x glauca,Omyrsi,0,0
824,aurita x caprea,Omyrsi,0,0
825,starkeana,Omyrsi,0,0
826,hastata x phylicifolia,Omyrsi,0,0
827,lapponum x phylicifolia,Omyrsi,0,0
828,acutifolia,Omyrsi,0,0
829,bicolor,Omyrsi,0,0
830,polaris,Omyrsi,0,0
831,cinerea x myrsinifolia,Omyrsi,0,0
832,fragilis x pentandra,Omyrsi,0,0
833,elaeagnos,Oarcti,0,0
834,appendiculata,Oarcti,0,0
835,myrsinifolia,Oarcti,5,0
836,foetida,Oarcti,0,0
837,hastata,Oarcti,5,0
838,daphnoides,Oarcti,0,0
839,helvetica,Oarcti,0,0
840,glaucosericea,Oarcti,0,0
841,cinerea,Oarcti,0,0
842,purpurea,Oarcti,0,0
843,alba,Oarcti,0,0
844,fragilis,Oarcti,0,0
845,repens,Oarcti,0,0
846,lapponum,Oarcti,12,0
847,myrsinites,Oarcti,2,0
848,phylicifolia,Oarcti,21,21
849,glauca,Oarcti,10,0
850,caprea,Oarcti,2,0
851,mielichhoferi,Oarcti,0,0
852,waldsteiniana,Oarcti,0,0
853,pentandra,Oarcti,0,0
854,breviserrata,Oarcti,0,0
855,reticulata,Oarcti,0,0
856,retusa,Oarcti,0,0
857,aurita,Oarcti,1,0
858,triandra,Oarcti,0,0
859,lanata,Oarcti,8,0
860,herbacea,Oarcti,2,0
861,borealis,Oarcti,1,0
862,myrtilloides,Oarcti,1,0
863,viminalis,Oarcti,0,0
864,glabra,Oarcti,0,0
865,apennina,Oarcti,0,0
866,rubens,Oarcti,0,0
867,rosmarinifolia,Oarcti,0,0
868,caprea x appendiculata,Oarcti,0,0
869,cinerea oleifolia,Oarcti,0,0
870,viminalis x caprea,Oarcti,0,0
871,viminalis x ?,Oarcti,0,0
872,alpina?,Oarcti,0,0
873,phylicifolia x caprea ?,Oarcti,1,1
874,lapponum x glauca?,Oarcti,0,0
875,lapponum x glauca,Oarcti,0,0
876,aurita x caprea,Oarcti,1,0
877,starkeana,Oarcti,1,0
878,hastata x phylicifolia,Oarcti,1,0
879,lapponum x phylicifolia,Oarcti,1,0
880,acutifolia,Oarcti,0,0
881,bicolor,Oarcti,0,0
882,polaris,Oarcti,0,0
883,cinerea x myrsinifolia,Oarcti,0,0
884,fragilis x pentandra,Oarcti,0,0
885,elaeagnos,Eboreo,0,0
886,appendiculata,Eboreo,1,0
887,myrsinifolia,Eboreo,2,0
888,foetida,Eboreo,1,0
889,hastata,Eboreo,8,0
890,daphnoides,Eboreo,0,0
891,helvetica,Eboreo,3,0
892,glaucosericea,Eboreo,4,4
893,cinerea,Eboreo,0,0
894,purpurea,Eboreo,0,0
895,alba,Eboreo,0,0
896,fragilis,Eboreo,0,0
897,repens,Eboreo,0,0
898,lapponum,Eboreo,16,0
899,myrsinites,Eboreo,2,0
900,phylicifolia,Eboreo,5,0
901,glauca,Eboreo,24,24
902,caprea,Eboreo,0,0
903,mielichhoferi,Eboreo,0,0
904,waldsteiniana,Eboreo,0,0
905,pentandra,Eboreo,2,0
906,breviserrata,Eboreo,0,0
907,reticulata,Eboreo,1,0
908,retusa,Eboreo,0,0
909,aurita,Eboreo,0,0
910,triandra,Eboreo,0,0
911,lanata,Eboreo,7,0
912,herbacea,Eboreo,1,0
913,borealis,Eboreo,0,0
914,myrtilloides,Eboreo,0,0
915,viminalis,Eboreo,0,0
916,glabra,Eboreo,0,0
917,apennina,Eboreo,0,0
918,rubens,Eboreo,0,0
919,rosmarinifolia,Eboreo,0,0
920,caprea x appendiculata,Eboreo,0,0
921,cinerea oleifolia,Eboreo,0,0
922,viminalis x caprea,Eboreo,0,0
923,viminalis x ?,Eboreo,0,0
924,alpina?,Eboreo,0,0
925,phylicifolia x caprea ?,Eboreo,0,0
926,lapponum x glauca?,Eboreo,1,0
927,lapponum x glauca,Eboreo,0,0
928,aurita x caprea,Eboreo,0,0
929,starkeana,Eboreo,0,0
930,hastata x phylicifolia,Eboreo,0,0
931,lapponum x phylicifolia,Eboreo,0,0
932,acutifolia,Eboreo,0,0
933,bicolor,Eboreo,0,0
934,polaris,Eboreo,0,0
935,cinerea x myrsinifolia,Eboreo,0,0
936,fragilis x pentandra,Eboreo,0,0
937,elaeagnos,Oglauc,0,0
938,appendiculata,Oglauc,0,0
939,myrsinifolia,Oglauc,0,0
940,foetida,Oglauc,0,0
941,hastata,Oglauc,3,0
942,daphnoides,Oglauc,0,0
943,helvetica,Oglauc,0,0
944,glaucosericea,Oglauc,0,0
945,cinerea,Oglauc,0,0
946,purpurea,Oglauc,0,0
947,alba,Oglauc,0,0
948,fragilis,Oglauc,0,0
949,repens,Oglauc,0,0
950,lapponum,Oglauc,9,0
951,myrsinites,Oglauc,2,0
952,phylicifolia,Oglauc,3,0
953,glauca,Oglauc,11,11
954,caprea,Oglauc,0,0
955,mielichhoferi,Oglauc,0,0
956,waldsteiniana,Oglauc,0,0
957,pentandra,Oglauc,0,0
958,breviserrata,Oglauc,0,0
959,reticulata,Oglauc,3,0
960,retusa,Oglauc,0,0
961,aurita,Oglauc,0,0
962,triandra,Oglauc,0,0
963,lanata,Oglauc,5,0
964,herbacea,Oglauc,0,0
965,borealis,Oglauc,0,0
966,myrtilloides,Oglauc,0,0
967,viminalis,Oglauc,0,0
968,glabra,Oglauc,0,0
969,apennina,Oglauc,0,0
970,rubens,Oglauc,0,0
971,rosmarinifolia,Oglauc,0,0
972,caprea x appendiculata,Oglauc,0,0
973,cinerea oleifolia,Oglauc,0,0
974,viminalis x caprea,Oglauc,0,0
975,viminalis x ?,Oglauc,0,0
976,alpina?,Oglauc,0,0
977,phylicifolia x caprea ?,Oglauc,0,0
978,lapponum x glauca?,Oglauc,0,0
979,lapponum x glauca,Oglauc,0,0
980,aurita x caprea,Oglauc,0,0
981,starkeana,Oglauc,0,0
982,hastata x phylicifolia,Oglauc,0,0
983,lapponum x phylicifolia,Oglauc,0,0
984,acutifolia,Oglauc,0,0
985,bicolor,Oglauc,0,0
986,polaris,Oglauc,0,0
987,cinerea x myrsinifolia,Oglauc,0,0
988,fragilis x pentandra,Oglauc,0,0
989,elaeagnos,Elappo,0,0
990,appendiculata,Elappo,0,0
991,myrsinifolia,Elappo,3,0
992,foetida,Elappo,0,0
993,hastata,Elappo,6,0
994,daphnoides,Elappo,0,0
995,helvetica,Elappo,0,0
996,glaucosericea,Elappo,0,0
997,cinerea,Elappo,0,0
998,purpurea,Elappo,0,0
999,alba,Elappo,0,0
1000,fragilis,Elappo,0,0
1001,repens,Elappo,0,0
1002,lapponum,Elappo,34,34
1003,myrsinites,Elappo,2,0
1004,phylicifolia,Elappo,7,0
1005,glauca,Elappo,20,0
1006,caprea,Elappo,5,0
1007,mielichhoferi,Elappo,0,0
1008,waldsteiniana,Elappo,0,0
1009,pentandra,Elappo,0,0
1010,breviserrata,Elappo,0,0
1011,reticulata,Elappo,1,0
1012,retusa,Elappo,0,0
1013,aurita,Elappo,0,0
1014,triandra,Elappo,0,0
1015,lanata,Elappo,10,0
1016,herbacea,Elappo,2,0
1017,borealis,Elappo,1,0
1018,myrtilloides,Elappo,3,0
1019,viminalis,Elappo,0,0
1020,glabra,Elappo,0,0
1021,apennina,Elappo,0,0
1022,rubens,Elappo,0,0
1023,rosmarinifolia,Elappo,0,0
1024,caprea x appendiculata,Elappo,0,0
1025,cinerea oleifolia,Elappo,0,0
1026,viminalis x caprea,Elappo,0,0
1027,viminalis x ?,Elappo,0,0
1028,alpina?,Elappo,0,0
1029,phylicifolia x caprea ?,Elappo,0,0
1030,lapponum x glauca?,Elappo,1,0
1031,lapponum x glauca,Elappo,0,0
1032,aurita x caprea,Elappo,0,0
1033,starkeana,Elappo,1,0
1034,hastata x phylicifolia,Elappo,1,0
1035,lapponum x phylicifolia,Elappo,1,0
1036,acutifolia,Elappo,0,0
1037,bicolor,Elappo,0,0
1038,polaris,Elappo,1,0
1039,cinerea x myrsinifolia,Elappo,0,0
1040,fragilis x pentandra,Elappo,0,0
1041,elaeagnos,Elappc,0,0
1042,appendiculata,Elappc,0,0
1043,myrsinifolia,Elappc,1,0
1044,foetida,Elappc,0,0
1045,hastata,Elappc,4,0
1046,daphnoides,Elappc,0,0
1047,helvetica,Elappc,0,0
1048,glaucosericea,Elappc,0,0
1049,cinerea,Elappc,0,0
1050,purpurea,Elappc,0,0
1051,alba,Elappc,0,0
1052,fragilis,Elappc,0,0
1053,repens,Elappc,0,0
1054,lapponum,Elappc,19,19
1055,myrsinites,Elappc,2,0
1056,phylicifolia,Elappc,5,0
1057,glauca,Elappc,14,0
1058,caprea,Elappc,2,0
1059,mielichhoferi,Elappc,0,0
1060,waldsteiniana,Elappc,0,0
1061,pentandra,Elappc,0,0
1062,breviserrata,Elappc,0,0
1063,reticulata,Elappc,2,0
1064,retusa,Elappc,0,0
1065,aurita,Elappc,0,0
1066,triandra,Elappc,0,0
1067,lanata,Elappc,6,0
1068,herbacea,Elappc,2,0
1069,borealis,Elappc,1,0
1070,myrtilloides,Elappc,1,0
1071,viminalis,Elappc,0,0
1072,glabra,Elappc,0,0
1073,apennina,Elappc,0,0
1074,rubens,Elappc,0,0
1075,rosmarinifolia,Elappc,0,0
1076,caprea x appendiculata,Elappc,0,0
1077,cinerea oleifolia,Elappc,0,0
1078,viminalis x caprea,Elappc,0,0
1079,viminalis x ?,Elappc,0,0
1080,alpina?,Elappc,0,0
1081,phylicifolia x caprea ?,Elappc,0,0
1082,lapponum x glauca?,Elappc,0,0
1083,lapponum x glauca,Elappc,0,0
1084,aurita x caprea,Elappc,0,0
1085,starkeana,Elappc,1,0
1086,hastata x phylicifolia,Elappc,1,0
1087,lapponum x phylicifolia,Elappc,1,0
1088,acutifolia,Elappc,0,0
1089,bicolor,Elappc,0,0
1090,polaris,Elappc,0,0
1091,cinerea x myrsinifolia,Elappc,0,0
1092,fragilis x pentandra,Elappc,0,0
1093,elaeagnos,Olappo,0,0
1094,appendiculata,Olappo,0,0
1095,myrsinifolia,Olappo,2,0
1096,foetida,Olappo,0,0
1097,hastata,Olappo,3,0
1098,daphnoides,Olappo,0,0
1099,helvetica,Olappo,0,0
1100,glaucosericea,Olappo,0,0
1101,cinerea,Olappo,0,0
1102,purpurea,Olappo,0,0
1103,alba,Olappo,0,0
1104,fragilis,Olappo,0,0
1105,repens,Olappo,0,0
1106,lapponum,Olappo,24,24
1107,myrsinites,Olappo,2,0
1108,phylicifolia,Olappo,9,0
1109,glauca,Olappo,16,0
1110,caprea,Olappo,0,0
1111,mielichhoferi,Olappo,0,0
1112,waldsteiniana,Olappo,0,0
1113,pentandra,Olappo,0,0
1114,breviserrata,Olappo,0,0
1115,reticulata,Olappo,1,0
1116,retusa,Olappo,0,0
1117,aurita,Olappo,0,0
1118,triandra,Olappo,0,0
1119,lanata,Olappo,8,0
1120,herbacea,Olappo,2,0
1121,borealis,Olappo,0,0
1122,myrtilloides,Olappo,0,0
1123,viminalis,Olappo,0,0
1124,glabra,Olappo,0,0
1125,apennina,Olappo,0,0
1126,rubens,Olappo,0,0
1127,rosmarinifolia,Olappo,0,0
1128,caprea x appendiculata,Olappo,0,0
1129,cinerea oleifolia,Olappo,0,0
1130,viminalis x caprea,Olappo,0,0
1131,viminalis x ?,Olappo,0,0
1132,alpina?,Olappo,0,0
1133,phylicifolia x caprea ?,Olappo,0,0
1134,lapponum x glauca?,Olappo,0,0
1135,lapponum x glauca,Olappo,0,0
1136,aurita x caprea,Olappo,0,0
1137,starkeana,Olappo,0,0
1138,hastata x phylicifolia,Olappo,0,0
1139,lapponum x phylicifolia,Olappo,0,0
1140,acutifolia,Olappo,0,0
1141,bicolor,Olappo,0,0
1142,polaris,Olappo,0,0
1143,cinerea x myrsinifolia,Olappo,0,0
1144,fragilis x pentandra,Olappo,0,0
1145,elaeagnos,Olappl,0,0
1146,appendiculata,Olappl,0,0
1147,myrsinifolia,Olappl,2,0
1148,foetida,Olappl,0,0
1149,hastata,Olappl,2,0
1150,daphnoides,Olappl,0,0
1151,helvetica,Olappl,0,0
1152,glaucosericea,Olappl,0,0
1153,cinerea,Olappl,0,0
1154,purpurea,Olappl,0,0
1155,alba,Olappl,0,0
1156,fragilis,Olappl,0,0
1157,repens,Olappl,0,0
1158,lapponum,Olappl,21,21
1159,myrsinites,Olappl,2,0
1160,phylicifolia,Olappl,7,0
1161,glauca,Olappl,14,0
1162,caprea,Olappl,0,0
1163,mielichhoferi,Olappl,0,0
1164,waldsteiniana,Olappl,0,0
1165,pentandra,Olappl,0,0
1166,breviserrata,Olappl,0,0
1167,reticulata,Olappl,1,0
1168,retusa,Olappl,0,0
1169,aurita,Olappl,0,0
1170,triandra,Olappl,0,0
1171,lanata,Olappl,5,0
1172,herbacea,Olappl,0,0
1173,borealis,Olappl,1,0
1174,myrtilloides,Olappl,0,0
1175,viminalis,Olappl,0,0
1176,glabra,Olappl,0,0
1177,apennina,Olappl,0,0
1178,rubens,Olappl,0,0
1179,rosmarinifolia,Olappl,0,0
1180,caprea x appendiculata,Olappl,0,0
1181,cinerea oleifolia,Olappl,0,0
1182,viminalis x caprea,Olappl,0,0
1183,viminalis x ?,Olappl,0,0
1184,alpina?,Olappl,0,0
1185,phylicifolia x caprea ?,Olappl,0,0
1186,lapponum x glauca?,Olappl,0,0
1187,lapponum x glauca,Olappl,0,0
1188,aurita x caprea,Olappl,0,0
1189,starkeana,Olappl,0,0
1190,hastata x phylicifolia,Olappl,0,0
1191,lapponum x phylicifolia,Olappl,0,0
1192,acutifolia,Olappl,0,0
1193,bicolor,Olappl,0,0
1194,polaris,Olappl,0,0
1195,cinerea x myrsinifolia,Olappl,0,0
1196,fragilis x pentandra,Olappl,0,0
1197,elaeagnos,Emyrsi,0,0
1198,appendiculata,Emyrsi,1,0
1199,myrsinifolia,Emyrsi,11,11
1200,foetida,Emyrsi,1,0
1201,hastata,Emyrsi,10,0
1202,daphnoides,Emyrsi,3,0
1203,helvetica,Emyrsi,0,0
1204,glaucosericea,Emyrsi,0,0
1205,cinerea,Emyrsi,0,0
1206,purpurea,Emyrsi,0,0
1207,alba,Emyrsi,0,0
1208,fragilis,Emyrsi,0,0
1209,repens,Emyrsi,0,0
1210,lapponum,Emyrsi,1,0
1211,myrsinites,Emyrsi,1,0
1212,phylicifolia,Emyrsi,2,0
1213,glauca,Emyrsi,1,0
1214,caprea,Emyrsi,1,0
1215,mielichhoferi,Emyrsi,6,6
1216,waldsteiniana,Emyrsi,6,0
1217,pentandra,Emyrsi,0,0
1218,breviserrata,Emyrsi,1,0
1219,reticulata,Emyrsi,0,0
1220,retusa,Emyrsi,0,0
1221,aurita,Emyrsi,0,0
1222,triandra,Emyrsi,0,0
1223,lanata,Emyrsi,1,0
1224,herbacea,Emyrsi,0,0
1225,borealis,Emyrsi,0,0
1226,myrtilloides,Emyrsi,0,0
1227,viminalis,Emyrsi,0,0
1228,glabra,Emyrsi,0,0
1229,apennina,Emyrsi,0,0
1230,rubens,Emyrsi,0,0
1231,rosmarinifolia,Emyrsi,0,0
1232,caprea x appendiculata,Emyrsi,0,0
1233,cinerea oleifolia,Emyrsi,0,0
1234,viminalis x caprea,Emyrsi,0,0
1235,viminalis x ?,Emyrsi,0,0
1236,alpina?,Emyrsi,0,0
1237,phylicifolia x caprea ?,Emyrsi,0,0
1238,lapponum x glauca?,Emyrsi,0,0
1239,lapponum x glauca,Emyrsi,0,0
1240,aurita x caprea,Emyrsi,0,0
1241,starkeana,Emyrsi,0,0
1242,hastata x phylicifolia,Emyrsi,0,0
1243,lapponum x phylicifolia,Emyrsi,0,0
1244,acutifolia,Emyrsi,0,0
1245,bicolor,Emyrsi,0,0
1246,polaris,Emyrsi,0,0
1247,cinerea x myrsinifolia,Emyrsi,0,0
1248,fragilis x pentandra,Emyrsi,0,0
1249,elaeagnos,Ogalla,1,0
1250,appendiculata,Ogalla,1,0
1251,myrsinifolia,Ogalla,2,0
1252,foetida,Ogalla,0,0
1253,hastata,Ogalla,2,0
1254,daphnoides,Ogalla,0,0
1255,helvetica,Ogalla,0,0
1256,glaucosericea,Ogalla,0,0
1257,cinerea,Ogalla,1,0
1258,purpurea,Ogalla,2,0
1259,alba,Ogalla,0,0
1260,fragilis,Ogalla,2,0
1261,repens,Ogalla,0,0
1262,lapponum,Ogalla,0,0
1263,myrsinites,Ogalla,0,0
1264,phylicifolia,Ogalla,1,0
1265,glauca,Ogalla,1,0
1266,caprea,Ogalla,22,22
1267,mielichhoferi,Ogalla,0,0
1268,waldsteiniana,Ogalla,0,0
1269,pentandra,Ogalla,0,0
1270,breviserrata,Ogalla,0,0
1271,reticulata,Ogalla,0,0
1272,retusa,Ogalla,0,0
1273,aurita,Ogalla,2,0
1274,triandra,Ogalla,0,0
1275,lanata,Ogalla,0,0
1276,herbacea,Ogalla,0,0
1277,borealis,Ogalla,0,0
1278,myrtilloides,Ogalla,1,0
1279,viminalis,Ogalla,1,0
1280,glabra,Ogalla,0,0
1281,apennina,Ogalla,0,0
1282,rubens,Ogalla,0,0
1283,rosmarinifolia,Ogalla,0,0
1284,caprea x appendiculata,Ogalla,0,0
1285,cinerea oleifolia,Ogalla,0,0
1286,viminalis x caprea,Ogalla,0,0
1287,viminalis x ?,Ogalla,0,0
1288,alpina?,Ogalla,0,0
1289,phylicifolia x caprea ?,Ogalla,0,0
1290,lapponum x glauca?,Ogalla,0,0
1291,lapponum x glauca,Ogalla,0,0
1292,aurita x caprea,Ogalla,0,0
1293,starkeana,Ogalla,0,0
1294,hastata x phylicifolia,Ogalla,0,0
1295,lapponum x phylicifolia,Ogalla,0,0
1296,acutifolia,Ogalla,0,0
1297,bicolor,Ogalla,0,0
1298,polaris,Ogalla,0,0
1299,cinerea x myrsinifolia,Ogalla,0,0
1300,fragilis x pentandra,Ogalla,0,0
1301,elaeagnos,Hischn,3,0
1302,appendiculata,Hischn,5,0
1303,myrsinifolia,Hischn,30,30
1304,foetida,Hischn,3,0
1305,hastata,Hischn,10,0
1306,daphnoides,Hischn,9,0
1307,helvetica,Hischn,1,0
1308,glaucosericea,Hischn,1,0
1309,cinerea,Hischn,1,0
1310,purpurea,Hischn,4,0
1311,alba,Hischn,0,0
1312,fragilis,Hischn,0,0
1313,repens,Hischn,0,0
1314,lapponum,Hischn,4,0
1315,myrsinites,Hischn,0,0
1316,phylicifolia,Hischn,11,0
1317,glauca,Hischn,8,0
1318,caprea,Hischn,4,0
1319,mielichhoferi,Hischn,8,8
1320,waldsteiniana,Hischn,5,0
1321,pentandra,Hischn,2,0
1322,breviserrata,Hischn,1,0
1323,reticulata,Hischn,0,0
1324,retusa,Hischn,0,0
1325,aurita,Hischn,1,0
1326,triandra,Hischn,0,0
1327,lanata,Hischn,1,0
1328,herbacea,Hischn,0,0
1329,borealis,Hischn,0,0
1330,myrtilloides,Hischn,1,0
1331,viminalis,Hischn,0,0
1332,glabra,Hischn,0,0
1333,apennina,Hischn,0,0
1334,rubens,Hischn,0,0
1335,rosmarinifolia,Hischn,0,0
1336,caprea x appendiculata,Hischn,1,0
1337,cinerea oleifolia,Hischn,0,0
1338,viminalis x caprea,Hischn,0,0
1339,viminalis x ?,Hischn,0,0
1340,alpina?,Hischn,0,0
1341,phylicifolia x caprea ?,Hischn,0,0
1342,lapponum x glauca?,Hischn,0,0
1343,lapponum x glauca,Hischn,0,0
1344,aurita x caprea,Hischn,0,0
1345,starkeana,Hischn,0,0
1346,hastata x phylicifolia,Hischn,0,0
1347,lapponum x phylicifolia,Hischn,0,0
1348,acutifolia,Hischn,0,0
1349,bicolor,Hischn,0,0
1350,polaris,Hischn,0,0
1351,cinerea x myrsinifolia,Hischn,0,0
1352,fragilis x pentandra,Hischn,0,0
1353,elaeagnos,Ehasta,0,0
1354,appendiculata,Ehasta,4,0
1355,myrsinifolia,Ehasta,8,0
1356,foetida,Ehasta,5,0
1357,hastata,Ehasta,38,38
1358,daphnoides,Ehasta,3,0
1359,helvetica,Ehasta,10,0
1360,glaucosericea,Ehasta,8,0
1361,cinerea,Ehasta,0,0
1362,purpurea,Ehasta,0,0
1363,alba,Ehasta,0,0
1364,fragilis,Ehasta,0,0
1365,repens,Ehasta,0,0
1366,lapponum,Ehasta,5,0
1367,myrsinites,Ehasta,1,0
1368,phylicifolia,Ehasta,9,0
1369,glauca,Ehasta,6,0
1370,caprea,Ehasta,2,0
1371,mielichhoferi,Ehasta,6,0
1372,waldsteiniana,Ehasta,6,0
1373,pentandra,Ehasta,2,0
1374,breviserrata,Ehasta,3,0
1375,reticulata,Ehasta,0,0
1376,retusa,Ehasta,0,0
1377,aurita,Ehasta,0,0
1378,triandra,Ehasta,0,0
1379,lanata,Ehasta,5,0
1380,herbacea,Ehasta,0,0
1381,borealis,Ehasta,0,0
1382,myrtilloides,Ehasta,0,0
1383,viminalis,Ehasta,0,0
1384,glabra,Ehasta,0,0
1385,apennina,Ehasta,0,0
1386,rubens,Ehasta,0,0
1387,rosmarinifolia,Ehasta,0,0
1388,caprea x appendiculata,Ehasta,0,0
1389,cinerea oleifolia,Ehasta,0,0
1390,viminalis x caprea,Ehasta,0,0
1391,viminalis x ?,Ehasta,0,0
1392,alpina?,Ehasta,0,0
1393,phylicifolia x caprea ?,Ehasta,0,0
1394,lapponum x glauca?,Ehasta,0,0
1395,lapponum x glauca,Ehasta,0,0
1396,aurita x caprea,Ehasta,0,0
1397,starkeana,Ehasta,0,0
1398,hastata x phylicifolia,Ehasta,0,0
1399,lapponum x phylicifolia,Ehasta,0,0
1400,acutifolia,Ehasta,0,0
1401,bicolor,Ehasta,0,0
1402,polaris,Ehasta,0,0
1403,cinerea x myrsinifolia,Ehasta,0,0
1404,fragilis x pentandra,Ehasta,0,0
1405,elaeagnos,Egemmf,0,0
1406,appendiculata,Egemmf,4,0
1407,myrsinifolia,Egemmf,6,0
1408,foetida,Egemmf,12,12
1409,hastata,Egemmf,10,0
1410,daphnoides,Egemmf,3,0
1411,helvetica,Egemmf,5,0
1412,glaucosericea,Egemmf,1,0
1413,cinerea,Egemmf,0,0
1414,purpurea,Egemmf,0,0
1415,alba,Egemmf,0,0
1416,fragilis,Egemmf,0,0
1417,repens,Egemmf,0,0
1418,lapponum,Egemmf,0,0
1419,myrsinites,Egemmf,0,0
1420,phylicifolia,Egemmf,0,0
1421,glauca,Egemmf,0,0
1422,caprea,Egemmf,0,0
1423,mielichhoferi,Egemmf,7,0
1424,waldsteiniana,Egemmf,8,8
1425,pentandra,Egemmf,2,0
1426,breviserrata,Egemmf,6,0
1427,reticulata,Egemmf,2,0
1428,retusa,Egemmf,1,0
1429,aurita,Egemmf,0,0
1430,triandra,Egemmf,0,0
1431,lanata,Egemmf,0,0
1432,herbacea,Egemmf,0,0
1433,borealis,Egemmf,0,0
1434,myrtilloides,Egemmf,0,0
1435,viminalis,Egemmf,0,0
1436,glabra,Egemmf,0,0
1437,apennina,Egemmf,0,0
1438,rubens,Egemmf,0,0
1439,rosmarinifolia,Egemmf,0,0
1440,caprea x appendiculata,Egemmf,0,0
1441,cinerea oleifolia,Egemmf,0,0
1442,viminalis x caprea,Egemmf,0,0
1443,viminalis x ?,Egemmf,0,0
1444,alpina?,Egemmf,0,0
1445,phylicifolia x caprea ?,Egemmf,0,0
1446,lapponum x glauca?,Egemmf,0,0
1447,lapponum x glauca,Egemmf,0,0
1448,aurita x caprea,Egemmf,0,0
1449,starkeana,Egemmf,0,0
1450,hastata x phylicifolia,Egemmf,0,0
1451,lapponum x phylicifolia,Egemmf,0,0
1452,acutifolia,Egemmf,0,0
1453,bicolor,Egemmf,0,0
1454,polaris,Egemmf,0,0
1455,cinerea x myrsinifolia,Egemmf,0,0
1456,fragilis x pentandra,Egemmf,0,0
1457,elaeagnos,Omonti,1,0
1458,appendiculata,Omonti,3,0
1459,myrsinifolia,Omonti,3,0
1460,foetida,Omonti,4,4
1461,hastata,Omonti,2,0
1462,daphnoides,Omonti,0,0
1463,helvetica,Omonti,0,0
1464,glaucosericea,Omonti,0,0
1465,cinerea,Omonti,0,0
1466,purpurea,Omonti,2,0
1467,alba,Omonti,0,0
1468,fragilis,Omonti,0,0
1469,repens,Omonti,0,0
1470,lapponum,Omonti,0,0
1471,myrsinites,Omonti,0,0
1472,phylicifolia,Omonti,0,0
1473,glauca,Omonti,0,0
1474,caprea,Omonti,0,0
1475,mielichhoferi,Omonti,3,0
1476,waldsteiniana,Omonti,5,5
1477,pentandra,Omonti,0,0
1478,breviserrata,Omonti,0,0
1479,reticulata,Omonti,1,0
1480,retusa,Omonti,2,0
1481,aurita,Omonti,0,0
1482,triandra,Omonti,0,0
1483,lanata,Omonti,0,0
1484,herbacea,Omonti,0,0
1485,borealis,Omonti,0,0
1486,myrtilloides,Omonti,0,0
1487,viminalis,Omonti,0,0
1488,glabra,Omonti,0,0
1489,apennina,Omonti,0,0
1490,rubens,Omonti,0,0
1491,rosmarinifolia,Omonti,0,0
1492,caprea x appendiculata,Omonti,0,0
1493,cinerea oleifolia,Omonti,0,0
1494,viminalis x caprea,Omonti,0,0
1495,viminalis x ?,Omonti,0,0
1496,alpina?,Omonti,0,0
1497,phylicifolia x caprea ?,Omonti,0,0
1498,lapponum x glauca?,Omonti,0,0
1499,lapponum x glauca,Omonti,0,0
1500,aurita x caprea,Omonti,0,0
1501,starkeana,Omonti,0,0
1502,hastata x phylicifolia,Omonti,0,0
1503,lapponum x phylicifolia,Omonti,0,0
1504,acutifolia,Omonti,0,0
1505,bicolor,Omonti,0,0
1506,polaris,Omonti,0,0
1507,cinerea x myrsinifolia,Omonti,0,0
1508,fragilis x pentandra,Omonti,0,0
1509,elaeagnos,Eelaea,21,21
1510,appendiculata,Eelaea,1,0
1511,myrsinifolia,Eelaea,2,0
1512,foetida,Eelaea,2,0
1513,hastata,Eelaea,0,0
1514,daphnoides,Eelaea,3,0
